language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
FRENCH	fra	come	1446	come	vəniʀ	come:B	v ə n i ʀ	
FRENCH	fra	snow	784	snow	nɛʒ	snow:B	n ɛ ʒ	
FRENCH	fra	sing	1261	sing	ʃɑ̃te	sing:D	ʃ ɑ̃ t e	
FRENCH	fra	tail	1220	tail	kø	tail:F	k ø	
FRENCH	fra	die	1494	die	muʀiʀ	die:A	m u ʀ i ʀ	
FRENCH	fra	cold	1287	cold	fʀwɑ	cold:E	f ʀ w ɑ	
FRENCH	fra	name	1405	name	nɔ̃	name:A	n ɔ̃	
FRENCH	fra	water	948	water	o	water:E	o	
FRENCH	fra	what	1236	what	kə	what:A	k ə	
FRENCH	fra	root	670	root	ʀasin	root:B	ʀ a s i n	
FRENCH	fra	two	1498	two	dø	two:A	d ø	
FRENCH	fra	at	1461	at	a	at:R	a	
FRENCH	fra	four	1500	four	katʀ	four:N	k a t ʀ	
FRENCH	fra	person	683	person	pɛʀsɔn	person:D	p ɛ ʀ s ɔ n	
FRENCH	fra	rain	658	rain	pløvwaʀ	rain:E	p l ø v w a ʀ	
FRENCH	fra	neck	1333	neck	ku	neck:B	k u	
FRENCH	fra	throw	1456	throw	ʒəte	throw:J	ʒ ə t e	
FRENCH	fra	sit	1416	sit	aswaʀ	sit:B	a s w a ʀ	
FRENCH	fra	bone	1394	bone	ɔs	bone:D	ɔ s	
FRENCH	fra	tree	906	tree	aʀbʀ	tree:F	a ʀ b ʀ	
FRENCH	fra	leaf	628	leaf	fœj	leaf:B	f œ j	
FRENCH	fra	red	156	red	ʀuʒ	red:B	ʀ u ʒ	
FRENCH	fra	animal	619	animal	animal	animal:F	a n i m a l	
FRENCH	fra	day	1225	day	ʒuʀ	day:C	ʒ u ʀ	
FRENCH	fra	hair	1040	hair	ʃəvø	hair:G	ʃ ə v ø	
FRENCH	fra	few	1242	few	pø	few:F	p ø	
FRENCH	fra	back	1291	back	do	back:H	d o	
FRENCH	fra	stone	857	stone	pjɛʀ	stone:E	p j ɛ ʀ	
FRENCH	fra	eye	1248	eye	œj	eye:B	œ j	
FRENCH	fra	grass	606	grass	ɛʀb	grass:F	ɛ ʀ b	
FRENCH	fra	worm	1219	worm	vɛʀ	worm:B	v ɛ ʀ	
FRENCH	fra	black	163	black	nwaʀ	black:F	n w a ʀ	
FRENCH	fra	split	1437	split	fɑ̃dʀ	split:E	f ɑ̃ d ʀ	
FRENCH	fra	give	1447	give	dɔne	give:B	d ɔ n e	
FRENCH	fra	horn	1393	horn	kɔʀn	horn:A	k ɔ ʀ n	
FRENCH	fra	earth	1228	earth	tɛʀ	earth:F	t ɛ ʀ	
FRENCH	fra	snake	730	snake	sɛʀpɑ̃	snake:E	s ɛ ʀ p ɑ̃	
FRENCH	fra	dog	2009	dog	ʃi_ɛ̃	dog:A	ʃ i _ ɛ̃	
FRENCH	fra	thick	1244	thick	epɛ	thick:Q	e p ɛ	
FRENCH	fra	big	1202	big	gʀɑ̃	big:D	g ʀ ɑ̃	
FRENCH	fra	wing	1257	wing	ɛl	wing:G	ɛ l	
FRENCH	fra	if	1459	if	si	if:G	s i	
FRENCH	fra	not	1240	not	nɔ̃	not:A	n ɔ̃	
FRENCH	fra	fly	1441	fly	vɔle	fly:E	v ɔ l e	
FRENCH	fra	say	1458	say	diʀ	say:F	d i ʀ	
FRENCH	fra	you	1213	you	vu	you:A	v u	
FRENCH	fra	warm	1232	warm	ʃo	warm:E	ʃ o	
FRENCH	fra	cloud	1489	cloud	nyaʒ	cloud:F	n y a ʒ	
FRENCH	fra	rotten	1728	rotten	puʀi	rotten:O	p u ʀ i	
FRENCH	fra	hand	1277	hand	mɛ̃	hand:E	m ɛ̃	
FRENCH	fra	ice	617	ice	glas	ice:G	g l a s	
FRENCH	fra	tongue	1205	tongue	lɑ̃g	tongue:W	l ɑ̃ g	
FRENCH	fra	seed	714	seed	səmɑ̃s	seed:B	s ə m ɑ̃ s	
FRENCH	fra	float	1574	float	flɔte	float:D	f l ɔ t e	
FRENCH	fra	suck	1421	suck	syse	suck:B	s y s e	
FRENCH	fra	fish	227	fish	pwasɔ̃	fish:B	p w a s ɔ̃	
FRENCH	fra	live	1422	live	vivʀ	live:A	v i v ʀ	
FRENCH	fra	egg	744	egg	œf	egg:A	œ f	
FRENCH	fra	green	1425	green	vɛʀ	green:G	v ɛ ʀ	
FRENCH	fra	thou	1215	thou	ty	thou:A	t y	
FRENCH	fra	tie	1094	tie	lje	tie:C	l j e	
FRENCH	fra	tooth	1380	tooth	dɑ̃	tooth:B	d ɑ̃	
FRENCH	fra	dust	2	dust	pusjɛʀ	dust:F	p u s j ɛ ʀ	
FRENCH	fra	sun	1343	sun	sɔlɛj	sun:W	s ɔ l ɛ j	
FRENCH	fra	husband	1200	husband	maʀi	husband:E	m a ʀ i	
FRENCH	fra	feather	1201	feather	plym_dwazo	feather:E	p l y m _ d w a z o	
FRENCH	fra	who	1235	who	ki	who:B	k i	
FRENCH	fra	straight	1404	straight	dʀwɑ	straight:M	d ʀ w ɑ	
FRENCH	fra	three	492	three	tʀwa	three:A	t ʀ w a	
FRENCH	fra	fat	1282	fat	gʀɛs	fat:I	g ʀ ɛ s	
FRENCH	fra	freeze	1431	freeze	ʒəle	freeze:G	ʒ ə l e	
FRENCH	fra	smoke	778	smoke	fyme	smoke:A	f y m e	
FRENCH	fra	when	1238	when	kɑ̃	when:A	k ɑ̃	
FRENCH	fra	drink	1401	drink	bwaʀ	drink:C	b w a ʀ	
FRENCH	fra	five	493	five	s_ɛ̃k	five:O	s _ ɛ̃ k	
FRENCH	fra	how	1239	how	kɔmɑ̃	how:B	k ɔ m ɑ̃	
FRENCH	fra	old	1229	old	vjø	old:G	v j ø	
FRENCH	fra	night	1233	night	nɥi	night:B	n ɥ i	
FRENCH	fra	star	1430	star	etwal	star:V	e t w a l	
FRENCH	fra	breast	1402	breast	sɛ̃	breast:H	s ɛ̃	
FRENCH	fra	round	1395	round	ʀɔ̃	round:A	ʀ ɔ̃	
FRENCH	fra	road	667	road	ʃəmɛ̃	road:H	ʃ ə m ɛ̃	
FRENCH	fra	salt	1274	salt	sɛl	salt:B	s ɛ l	
FRENCH	fra	sea	1474	sea	mɛʀ	sea:B	m ɛ ʀ	
FRENCH	fra	long	1203	long	lɔ̃	long:B	l ɔ̃	
FRENCH	fra	they	817	they	il	they:F	i l	
FRENCH	fra	swim	1439	swim	naʒe	swim:D	n a ʒ e	
FRENCH	fra	ear	1247	ear	ɔʀɛj	ear:B	ɔ ʀ ɛ j	
FRENCH	fra	see	1409	see	vwaʀ	see:E	v w a ʀ	
FRENCH	fra	hold	1448	hold	təniʀ	hold:F	t ə n i ʀ	
FRENCH	fra	nose	1221	nose	nɛ	nose:B	n ɛ	
FRENCH	fra	I	1209	I	ʒə	I:A	ʒ ə	
FRENCH	fra	vomit	1278	vomit	vɔmiʀ	vomit:E	v ɔ m i ʀ	
FRENCH	fra	mountain	639	mountain	mɔ̃taɲ	mountain:F	m ɔ̃ t a ɲ	
FRENCH	fra	breathe	1407	breathe	ʀɛspiʀe	breathe:L	ʀ ɛ s p i ʀ e	
FRENCH	fra	other	197	other	otʀ	other:D	o t ʀ	
FRENCH	fra	where	1237	where	u	where:B	u	
FRENCH	fra	mother	1216	mother	mɛʀ	mother:A	m ɛ ʀ	
FRENCH	fra	knee	1371	knee	ʒənu	knee:N	ʒ ə n u	
FRENCH	fra	blood	946	blood	sɑ̃	blood:G	s ɑ̃	
FRENCH	fra	moon	1313	moon	lyn	moon:C	l y n	
FRENCH	fra	we	1212	we	nu	we:A	n u	
FRENCH	fra	and	1577	and	e	and:F	e	
FRENCH	fra	skin	763	skin	po	skin:B	p o	
FRENCH	fra	dry	1398	dry	sɛk	dry:G	s ɛ k	
FRENCH	fra	some	1241	some	kɛlk	some:L	k ɛ l k	
FRENCH	fra	bite	1403	bite	mɔʀdʀ	bite:G	m ɔ ʀ d ʀ	
FRENCH	fra	woman	962	woman	fam	woman:G	f a m	
FRENCH	fra	one	1493	one	œ̃	one:A	œ̃	
FRENCH	fra	sleep	1585	sleep	doʀmiʀ	sleep:E	d o ʀ m i ʀ	
FRENCH	fra	bad	1292	bad	mɔvɛ	bad:D	m ɔ v ɛ	
FRENCH	fra	good	1035	good	bɔ̃	good:F	b ɔ̃	
FRENCH	fra	flower	239	flower	flœʀ	flower:B	f l œ ʀ	
FRENCH	fra	rub	1449	rub	fʀɔte	rub:F	f ʀ ɔ t e	
FRENCH	fra	bark	1204	bark	ekɔʀs	bark:B	e k ɔ ʀ s	
FRENCH	fra	year	1226	year	ɑ̃	year:F	ɑ̃	
FRENCH	fra	new	1231	new	nuvo	new:A	n u v o	
FRENCH	fra	all	98	all	tu	all:C	t u	
FRENCH	fra	laugh	1355	laugh	ʀiʀ	laugh:F	ʀ i ʀ	
FRENCH	fra	blow	175	blow	sufle	blow:A	s u f l e	
FRENCH	fra	bird	937	bird	wazo	bird:F	w a z o	
FRENCH	fra	wind	960	wind	vɑ̃	wind:B	v ɑ̃	
FRENCH	fra	full	1429	full	plɛ̃	full:A	p l ɛ̃	
FRENCH	fra	lake	624	lake	lak	lake:E	l a k	
FRENCH	fra	fingernail	1258	fingernail	ɔ̃gl	fingernail:A	ɔ̃ g l	
FRENCH	fra	ashes	646	ashes	sɑ̃dʀ	ashes:E	s ɑ̃ d ʀ	
FRENCH	fra	far	1406	far	lwɛ̃	far:M	l w ɛ̃	
FRENCH	fra	heart	1223	heart	kœʀ	heart:J	k œ ʀ	
FRENCH	fra	belly	1251	belly	vɑ̃tʀ	belly:E	v ɑ̃ t ʀ	
