language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
ITALIAN	ita	come	1446	come	venire	come:B	v e n i r e	
ITALIAN	ita	snow	784	snow	neve	snow:B	n e v e	
ITALIAN	ita	sing	1261	sing	kantare	sing:D	k a n t a r e	
ITALIAN	ita	tail	1220	tail	koda	tail:F	k o d a	
ITALIAN	ita	die	1494	die	morire	die:A	m o r i r e	
ITALIAN	ita	cold	1287	cold	freddo	cold:E	f r e dd o	
ITALIAN	ita	name	1405	name	nome	name:A	n o m e	
ITALIAN	ita	water	948	water	akkwa	water:E	a kk w a	
ITALIAN	ita	what	1236	what	ke	what:A	k e	
ITALIAN	ita	kill	1417	kill	uttʃidere	kill:O	u tt ʃ i d e r e	
ITALIAN	ita	root	670	root	raditʃe	root:B	r a d i t ʃ e	
ITALIAN	ita	two	1498	two	due	two:A	d u e	
ITALIAN	ita	at	1461	at	a	at:R	a	
ITALIAN	ita	four	1500	four	kwattro	four:N	k w a tt r o	
ITALIAN	ita	person	683	person	persona	person:D	p e r s o n a	
ITALIAN	ita	rain	658	rain	pjɔvere	rain:E	p j ɔ v e r e	
ITALIAN	ita	fear	1419	fear	temere	fear:F	t e m e r e	
ITALIAN	ita	neck	1333	neck	kollo	neck:B	k o ll o	
ITALIAN	ita	throw	1456	throw	dʒettare	throw:J	d ʒ e tt a r e	
ITALIAN	ita	sit	1416	sit	sedere	sit:B	s e d e r e	
ITALIAN	ita	bone	1394	bone	ɔsso	bone:D	ɔ ss o	
ITALIAN	ita	flow	2003	flow	fluire	flow:E	f l u i r e	
ITALIAN	ita	tree	906	tree	albero	tree:F	a l b e r o	
ITALIAN	ita	leaf	628	leaf	fɔʎʎo	leaf:B	f ɔ ʎʎ o	
ITALIAN	ita	red	156	red	rosso	red:B	r o ss o	
ITALIAN	ita	animal	619	animal	animale	animal:F	a n i m a l e	
ITALIAN	ita	day	1225	day	dʒorno	day:C	d ʒ o r n o	
ITALIAN	ita	hair	1040	hair	kapello	hair:G	k a p e ll o	
ITALIAN	ita	few	1242	few	pɔko	few:F	p ɔ k o	
ITALIAN	ita	back	1291	back	dɔsso	back:H	d ɔ ss o	
ITALIAN	ita	sand	671	sand	rena	sand:G	r e n a	
ITALIAN	ita	with	1340	with	kon	with:E	k o n	
ITALIAN	ita	stone	857	stone	pjɛtra	stone:E	p j ɛ t r a	
ITALIAN	ita	eye	1248	eye	ɔkkjo	eye:B	ɔ kk j o	
ITALIAN	ita	grass	606	grass	ɛrba	grass:F	ɛ r b a	
ITALIAN	ita	river	666	river	fjume	river:J	f j u m e	
ITALIAN	ita	worm	1219	worm	vɛrme	worm:B	v ɛ r m e	
ITALIAN	ita	black	163	black	nero	black:F	n e r o	
ITALIAN	ita	split	1437	split	fɛndere	split:E	f ɛ n d e r e	
ITALIAN	ita	give	1447	give	dare	give:B	d a r e	
ITALIAN	ita	horn	1393	horn	kɔrno	horn:A	k ɔ r n o	
ITALIAN	ita	earth	1228	earth	tɛrra	earth:F	t ɛ rr a	
ITALIAN	ita	snake	730	snake	sɛrpe	snake:E	s ɛ r p e	
ITALIAN	ita	dog	2009	dog	kane	dog:A	k a n e	
ITALIAN	ita	stand	1442	stand	stare_im_pjɛdi	stand:B	s t a r e _ i m _ p j ɛ d i	
ITALIAN	ita	in	1460	in	in	in:E	i n	
ITALIAN	ita	big	1202	big	grande	big:D	g r a n d e	
ITALIAN	ita	wing	1257	wing	ala	wing:G	a l a	
ITALIAN	ita	if	1459	if	se	if:G	s e	
ITALIAN	ita	not	1240	not	nɔ	not:A	n ɔ	
ITALIAN	ita	fly	1441	fly	volare	fly:E	v o l a r e	
ITALIAN	ita	say	1458	say	dire	say:F	d i r e	
ITALIAN	ita	you	1213	you	voi	you:A	v o i	
ITALIAN	ita	warm	1232	warm	kaldo	warm:E	k a l d o	
ITALIAN	ita	cloud	1489	cloud	nuvola	cloud:F	n u v o l a	
ITALIAN	ita	hand	1277	hand	mano	hand:E	m a n o	
ITALIAN	ita	ice	617	ice	gjattʃo	ice:G	g j a tt ʃ o	
ITALIAN	ita	tongue	1205	tongue	lingwa	tongue:W	l i n g w a	
ITALIAN	ita	seed	714	seed	seme	seed:B	s e m e	
ITALIAN	ita	suck	1421	suck	sukkjare	suck:B	s u kk j a r e	
ITALIAN	ita	fish	227	fish	peʃʃe	fish:B	p e ʃʃ e	
ITALIAN	ita	live	1422	live	vivere	live:A	v i v e r e	
ITALIAN	ita	egg	744	egg	wɔvo	egg:A	w ɔ v o	
ITALIAN	ita	green	1425	green	verde	green:G	v e r d e	
ITALIAN	ita	thou	1215	thou	tu	thou:A	t u	
ITALIAN	ita	many	1198	many	molti	many:G	m o l t i	
ITALIAN	ita	tie	1094	tie	legare	tie:C	l e g a r e	
ITALIAN	ita	tooth	1380	tooth	dɛnte	tooth:B	d ɛ n t e	
ITALIAN	ita	dust	2	dust	polvere	dust:F	p o l v e r e	
ITALIAN	ita	sun	1343	sun	sole	sun:W	s o l e	
ITALIAN	ita	husband	1200	husband	marito	husband:E	m a r i t o	
ITALIAN	ita	feather	1201	feather	pjuma	feather:E	p j u m a	
ITALIAN	ita	who	1235	who	ki	who:B	k i	
ITALIAN	ita	straight	1404	straight	diritto	straight:M	d i r i tt o	
ITALIAN	ita	three	492	three	tre	three:A	t r e	
ITALIAN	ita	fat	1282	fat	grasso	fat:I	g r a ss o	
ITALIAN	ita	freeze	1431	freeze	dʒelare	freeze:G	d ʒ e l a r e	
ITALIAN	ita	smoke	778	smoke	fumo	smoke:A	f u m o	
ITALIAN	ita	when	1238	when	kwando	when:A	k w a n d o	
ITALIAN	ita	drink	1401	drink	bere	drink:C	b e r e	
ITALIAN	ita	five	493	five	tʃinkwe	five:O	t ʃ i n k w e	
ITALIAN	ita	how	1239	how	kome	how:B	k o m e	
ITALIAN	ita	old	1229	old	vekkjo	old:G	v e kk j o	
ITALIAN	ita	night	1233	night	nɔtte	night:B	n ɔ tt e	
ITALIAN	ita	star	1430	star	stella	star:V	s t e ll a	
ITALIAN	ita	fog	249	fog	nebbja	fog:I	n e bb j a	
ITALIAN	ita	breast	1402	breast	mammɛlla	breast:A	m a mm ɛ ll a	
ITALIAN	ita	round	1395	round	tondo	round:A	t o n d o	
ITALIAN	ita	lie	1411	lie	dʒatʃere	lie:E	d ʒ a t ʃ e r e	
ITALIAN	ita	salt	1274	salt	sale	salt:B	s a l e	
ITALIAN	ita	sea	1474	sea	mare	sea:B	m a r e	
ITALIAN	ita	long	1203	long	lungo	long:B	l u n g o	
ITALIAN	ita	swim	1439	swim	nwotare	swim:D	n w o t a r e	
ITALIAN	ita	ear	1247	ear	orekkjo	ear:B	o r e kk j o	
ITALIAN	ita	see	1409	see	vedere	see:E	v e d e r e	
ITALIAN	ita	hold	1448	hold	tenere	hold:F	t e n e r e	
ITALIAN	ita	nose	1221	nose	naso	nose:B	n a s o	
ITALIAN	ita	guts	1991	guts	intestino	guts:K	i n t e s t i n o	
ITALIAN	ita	I	1209	I	io	I:A	i o	
ITALIAN	ita	vomit	1278	vomit	vomitare	vomit:E	v o m i t a r e	
ITALIAN	ita	left	244	left	sinistro	left:H	s i n i s t r o	
ITALIAN	ita	mountain	639	mountain	montaɲɲa	mountain:F	m o n t a ɲɲ a	
ITALIAN	ita	breathe	1407	breathe	respirare	breathe:L	r e s p i r a r e	
ITALIAN	ita	other	197	other	altro	other:D	a l t r o	
ITALIAN	ita	where	1237	where	dove	where:B	d o v e	
ITALIAN	ita	mother	1216	mother	madre	mother:A	m a d r e	
ITALIAN	ita	knee	1371	knee	dʒinɔkkjo	knee:N	d ʒ i n ɔ kk j o	
ITALIAN	ita	blood	946	blood	sangwe	blood:G	s a n g w e	
ITALIAN	ita	and	1577	and	e	and:F	e	
ITALIAN	ita	skin	763	skin	pɛlle	skin:B	p ɛ ll e	
ITALIAN	ita	heavy	1210	heavy	grɛve	heavy:M	g r ɛ v e	
ITALIAN	ita	bite	1403	bite	mɔrdere	bite:G	m ɔ r d e r e	
ITALIAN	ita	spit	1440	spit	sputare	spit:Ac	s p u t a r e	
ITALIAN	ita	hear	1408	hear	udire	hear:G	u d i r e	
ITALIAN	ita	one	1493	one	uno	one:A	u n o	
ITALIAN	ita	sleep	1585	sleep	dormire	sleep:E	d o r m i r e	
ITALIAN	ita	good	1035	good	bwɔno	good:F	b w ɔ n o	
ITALIAN	ita	rightside	1019	rightside	dɛstro	rightside:G	d ɛ s t r o	
ITALIAN	ita	flower	239	flower	fjore	flower:B	f j o r e	
ITALIAN	ita	rub	1449	rub	fregare	rub:F	f r e g a r e	
ITALIAN	ita	bark	1204	bark	skɔrdza	bark:B	s k ɔ r d z a	
ITALIAN	ita	year	1226	year	anno	year:F	a nn o	
ITALIAN	ita	new	1231	new	nwɔvo	new:A	n w ɔ v o	
ITALIAN	ita	all	98	all	tutto	all:C	t u tt o	
ITALIAN	ita	laugh	1355	laugh	ridere	laugh:F	r i d e r e	
ITALIAN	ita	blow	175	blow	soffjare	blow:A	s o ff j a r e	
ITALIAN	ita	bird	937	bird	uttʃɛllo	bird:F	u tt ʃ ɛ ll o	
ITALIAN	ita	wind	960	wind	vɛnto	wind:B	v ɛ n t o	
ITALIAN	ita	squeeze	1414	squeeze	prɛmere	squeeze:A	p r ɛ m e r e	
ITALIAN	ita	full	1429	full	pjɛno	full:A	p j ɛ n o	
ITALIAN	ita	burn	2102	burn	ardere	burn:I	a r d e r e	
ITALIAN	ita	lake	624	lake	lago	lake:E	l a g o	
ITALIAN	ita	smell	1586	smell	odorare	smell:W	o d o r a r e	
ITALIAN	ita	meat	634	meat	karne	meat:D	k a r n e	
ITALIAN	ita	fingernail	1258	fingernail	ungja	fingernail:A	u n g j a	
ITALIAN	ita	ashes	646	ashes	tʃenere	ashes:E	t ʃ e n e r e	
ITALIAN	ita	far	1406	far	lontano	far:M	l o n t a n o	
ITALIAN	ita	fall	1280	fall	kadere	fall:G	k a d e r e	
ITALIAN	ita	dull	379	dull	ottuzo	dull:S	o tt u z o	
ITALIAN	ita	heart	1223	heart	kwɔre	heart:J	k w ɔ r e	
ITALIAN	ita	belly	1251	belly	vɛntre	belly:E	v ɛ n t r e	
ITALIAN	ita	sew	1457	sew	kutʃire	sew:F	k u t ʃ i r e	
ITALIAN	ita	wash	1453	wash	lavare	wash:G	l a v a r e	
ITALIAN	ita	sky	1732	sky	tʃɛlo	sky:E	t ʃ ɛ l o	
ITALIAN	ita	foot	1301	foot	pjɛde	foot:B	p j ɛ d e	
ITALIAN	ita	louse	1392	louse	pidɔkkjo	louse:F	p i d ɔ kk j o	
ITALIAN	ita	father	1217	father	padre	father:A	p a d r e	
