language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
LATIN	lat	come	1446	come	weˈniːre	come:B	w e ˈn iː r e	
LATIN	lat	snow	784	snow	niks	snow:B	n i k s	
LATIN	lat	sing	1261	sing	ˈkanere	sing:D	ˈk a n e r e	
LATIN	lat	tail	1220	tail	ˈkau̯da	tail:F	ˈk a u̯ d a	
LATIN	lat	die	1494	die	ˈmoriː	die:A	ˈm o r iː	
LATIN	lat	cold	1287	cold	ˈfriːgidus	cold:E	ˈf r iː g i d u s	
LATIN	lat	name	1405	name	ˈnoːmen	name:A	ˈn oː m e n	
LATIN	lat	water	948	water	ˈakʷa	water:E	ˈa kʷ a	
LATIN	lat	what	1236	what	kʷid	what:A	kʷ i d	
LATIN	lat	kill	1417	kill	oˈkːiːdere	kill:O	o ˈkː iː d e r e	
LATIN	lat	root	670	root	ˈraːdiks	root:B	ˈr aː d i k s	
LATIN	lat	two	1498	two	ˈduo	two:A	ˈd u o	
LATIN	lat	at	1461	at	ad	at:R	a d	
LATIN	lat	four	1500	four	ˈkʷatːuor	four:N	ˈkʷ a tː u o r	
LATIN	lat	person	683	person	perˈsoːna	person:D	p e r ˈs oː n a	
LATIN	lat	rain	658	rain	ˈpluwia	rain:E	ˈp l u w i a	
LATIN	lat	fear	1419	fear	tiˈmeːre	fear:F	t i ˈm eː r e	
LATIN	lat	neck	1333	neck	ˈkolːum	neck:B	ˈk o lː u m	
LATIN	lat	throw	1456	throw	ˈjakere	throw:J	ˈj a k e r e	
LATIN	lat	sit	1416	sit	seˈdeːre	sit:B	s e ˈd eː r e	
LATIN	lat	bone	1394	bone	os	bone:D	o s	
LATIN	lat	flow	2003	flow	ˈfluere	flow:E	ˈf l u e r e	
LATIN	lat	tree	906	tree	ˈarbor	tree:F	ˈa r b o r	
LATIN	lat	leaf	628	leaf	ˈfolium	leaf:B	ˈf o l i u m	
LATIN	lat	red	156	red	ˈruber	red:B	ˈr u b e r	
LATIN	lat	animal	619	animal	ˈanimal	animal:F	ˈa n i m a l	
LATIN	lat	day	1225	day	ˈdieːs	day:C	ˈd i eː s	
LATIN	lat	hair	1040	hair	kaˈpilːiː	hair:G	k a ˈp i lː iː	
LATIN	lat	few	1242	few	ˈpau̯kiː	few:F	ˈp a u̯ k iː	
LATIN	lat	back	1291	back	ˈdorsum	back:H	ˈd o r s u m	
LATIN	lat	sand	671	sand	haˈreːna	sand:G	h a ˈr eː n a	
LATIN	lat	with	1340	with	kum	with:E	k u m	
LATIN	lat	stone	857	stone	ˈpetra	stone:E	ˈp e t r a	
LATIN	lat	eye	1248	eye	ˈokulus	eye:B	ˈo k u l u s	
LATIN	lat	grass	606	grass	ˈherba	grass:F	ˈh e r b a	
LATIN	lat	river	666	river	ˈfluːmen	river:J	ˈf l uː m e n	
LATIN	lat	worm	1219	worm	ˈwermis	worm:B	ˈw e r m i s	
LATIN	lat	black	163	black	ˈniɡer	black:F	ˈn i ɡ e r	
LATIN	lat	split	1437	split	ˈfindere	split:E	ˈf i n d e r e	
LATIN	lat	give	1447	give	ˈdare	give:B	ˈd a r e	
LATIN	lat	horn	1393	horn	ˈkornuː	horn:A	ˈk o r n uː	
LATIN	lat	earth	1228	earth	ˈterːa	earth:F	ˈt e rː a	
LATIN	lat	snake	730	snake	ˈserpeːns	snake:E	ˈs e r p eː n s	
LATIN	lat	dog	2009	dog	ˈkanis	dog:A	ˈk a n i s	
LATIN	lat	stand	1442	stand	staːre	stand:B	s t aː r e	
LATIN	lat	in	1460	in	in	in:E	i n	
LATIN	lat	big	1202	big	ˈɡrandis	big:D	ˈɡ r a n d i s	
LATIN	lat	wing	1257	wing	ˈaːla	wing:G	ˈaː l a	
LATIN	lat	if	1459	if	siː	if:G	s iː	
LATIN	lat	not	1240	not	noːn	not:A	n oː n	
LATIN	lat	fly	1441	fly	woˈlaːre	fly:E	w o ˈl aː r e	
LATIN	lat	say	1458	say	ˈdiːkere	say:F	ˈd iː k e r e	
LATIN	lat	you	1213	you	woːs	you:A	w oː s	
LATIN	lat	warm	1232	warm	ˈkalidus	warm:E	ˈk a l i d u s	
LATIN	lat	cloud	1489	cloud	ˈnuːbeːs	cloud:F	ˈn uː b eː s	
LATIN	lat	hand	1277	hand	ˈmanus	hand:E	ˈm a n u s	
LATIN	lat	ice	617	ice	glaˈkieːs	ice:G	g l a ˈk i eː s	
LATIN	lat	tongue	1205	tongue	ˈliŋɡwa	tongue:W	ˈl i ŋ ɡ w a	
LATIN	lat	seed	714	seed	ˈseːmen	seed:B	ˈs eː m e n	
LATIN	lat	suck	1421	suck	ˈsuːgere	suck:B	ˈs uː g e r e	
LATIN	lat	fish	227	fish	ˈpiskis	fish:B	ˈp i s k i s	
LATIN	lat	live	1422	live	ˈwiːwere	live:A	ˈw iː w e r e	
LATIN	lat	egg	744	egg	ˈoːwum	egg:A	ˈoː w u m	
LATIN	lat	green	1425	green	ˈwiridis	green:G	ˈw i r i d i s	
LATIN	lat	thou	1215	thou	tuː	thou:A	t uː	
LATIN	lat	many	1198	many	multiː	many:G	m u l t iː	
LATIN	lat	tie	1094	tie	liˈgaːre	tie:C	l i ˈg aː r e	
LATIN	lat	tooth	1380	tooth	dens	tooth:B	d e n s	
LATIN	lat	dust	2	dust	ˈpulwis	dust:F	ˈp u l w i s	
LATIN	lat	sun	1343	sun	soːl	sun:W	s oː l	
LATIN	lat	husband	1200	husband	maˈriːtus	husband:E	m a ˈr iː t u s	
LATIN	lat	feather	1201	feather	ˈpluːma	feather:E	ˈp l uː m a	
LATIN	lat	who	1235	who	kʷiː	who:B	kʷ iː	
LATIN	lat	straight	1404	straight	ˈrektus	straight:M	ˈr e k t u s	
LATIN	lat	three	492	three	treːs	three:A	t r eː s	
LATIN	lat	fat	1282	fat	ˈkrasːus	fat:I	ˈk r a sː u s	
LATIN	lat	freeze	1431	freeze	geˈlaːre	freeze:G	g e ˈl aː r e	
LATIN	lat	smoke	778	smoke	ˈfuːmus	smoke:A	ˈf uː m u s	
LATIN	lat	when	1238	when	ˈkwandoː	when:A	ˈk w a n d oː	
LATIN	lat	drink	1401	drink	ˈbibere	drink:C	ˈb i b e r e	
LATIN	lat	five	493	five	ˈkʷiːnkʷe	five:O	ˈkʷ iː n kʷ e	
LATIN	lat	how	1239	how	ˈkʷoːmodo	how:B	ˈkʷ oː m o d o	
LATIN	lat	old	1229	old	ˈwetus	old:G	ˈw e t u s	
LATIN	lat	night	1233	night	noks	night:B	n o k s	
LATIN	lat	star	1430	star	ˈsteːlːa	star:V	ˈs t eː lː a	
LATIN	lat	fog	249	fog	ˈnebula	fog:I	ˈn e b u l a	
LATIN	lat	breast	1402	breast	ˈmamːa	breast:A	ˈm a mː a	
LATIN	lat	round	1395	round	roˈtundus	round:A	r o ˈt u n d u s	
LATIN	lat	lie	1411	lie	jaˈkeːre	lie:E	j a ˈk eː r e	
LATIN	lat	salt	1274	salt	saːl	salt:B	s aː l	
LATIN	lat	sea	1474	sea	ˈmare	sea:B	ˈm a r e	
LATIN	lat	long	1203	long	ˈlongus	long:B	ˈl o n g u s	
LATIN	lat	swim	1439	swim	ˈnaːre	swim:D	ˈn aː r e	
LATIN	lat	ear	1247	ear	ˈauris	ear:B	ˈa u r i s	
LATIN	lat	see	1409	see	wiˈdeːre	see:E	w i ˈd eː r e	
LATIN	lat	hold	1448	hold	teˈneːre	hold:F	t e ˈn eː r e	
LATIN	lat	nose	1221	nose	ˈnaːsus	nose:B	ˈn aː s u s	
