language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
ITALIAN	ita	come	1446	come	venire	come:B	v e n i r e		v e n i r e	test
ITALIAN	ita	snow	784	snow	neve	snow:B	n e v e		n e v e	1
ITALIAN	ita	sing	1261	sing	kantare	sing:D	k a n t a r e		k a n t a r e	3
ITALIAN	ita	tail	1220	tail	koda	tail:F	k o d a		k o d a	3
ITALIAN	ita	die	1494	die	morire	die:A	m o r i r e		m o r i r e	2
ITALIAN	ita	cold	1287	cold	freddo	cold:E	f r e dd o		f r e dd o	5
ITALIAN	ita	name	1405	name	nome	name:A	n o m e		n o m e	test
ITALIAN	ita	water	948	water	akkwa	water:E	a kk w a		a kk w a	test
ITALIAN	ita	what	1236	what	ke	what:A	k e		k e	test
ITALIAN	ita	kill	1417	kill	uttʃidere	kill:O	u tt ʃ i d e r e		u tt ʃ i d e r e	3
ITALIAN	ita	root	670	root	raditʃe	root:B	r a d i t ʃ e		r a d i tʃ e	4
ITALIAN	ita	two	1498	two	due	two:A	d u e		d u e	5
ITALIAN	ita	at	1461	at	a	at:R	a		a	5
ITALIAN	ita	four	1500	four	kwattro	four:N	k w a tt r o		k w a tt r o	5
ITALIAN	ita	person	683	person	persona	person:D	p e r s o n a		p e r s o n a	3
ITALIAN	ita	rain	658	rain	pjɔvere	rain:E	p j ɔ v e r e		p j ɔ v e r e	5
ITALIAN	ita	fear	1419	fear	temere	fear:F	t e m e r e		t e m e r e	2
ITALIAN	ita	neck	1333	neck	kollo	neck:B	k o ll o		k o ll o	2
ITALIAN	ita	throw	1456	throw	dʒettare	throw:J	d ʒ e tt a r e		dʒ e tt a r e	1
ITALIAN	ita	sit	1416	sit	sedere	sit:B	s e d e r e		s e d e r e	5
ITALIAN	ita	bone	1394	bone	ɔsso	bone:D	ɔ ss o		ɔ ss o	5
ITALIAN	ita	flow	2003	flow	fluire	flow:E	f l u i r e		f l u i r e	3
ITALIAN	ita	tree	906	tree	albero	tree:F	a l b e r o		a l b e r o	test
ITALIAN	ita	leaf	628	leaf	fɔʎʎo	leaf:B	f ɔ ʎʎ o		f ɔ ʎʎ o	test
ITALIAN	ita	red	156	red	rosso	red:B	r o ss o		r o ss o	4
ITALIAN	ita	animal	619	animal	animale	animal:F	a n i m a l e		a n i m a l e	3
ITALIAN	ita	day	1225	day	dʒorno	day:C	d ʒ o r n o		dʒ o r n o	test
ITALIAN	ita	hair	1040	hair	kapello	hair:G	k a p e ll o		k a p e ll o	5
ITALIAN	ita	few	1242	few	pɔko	few:F	p ɔ k o		p ɔ k o	test
ITALIAN	ita	back	1291	back	dɔsso	back:H	d ɔ ss o		d ɔ ss o	4
ITALIAN	ita	sand	671	sand	rena	sand:G	r e n a		r e n a	1
ITALIAN	ita	with	1340	with	kon	with:E	k o n		k o n	3
ITALIAN	ita	stone	857	stone	pjɛtra	stone:E	p j ɛ t r a		p j ɛ t r a	1
ITALIAN	ita	eye	1248	eye	ɔkkjo	eye:B	ɔ kk j o		ɔ kk j o	5
ITALIAN	ita	grass	606	grass	ɛrba	grass:F	ɛ r b a		ɛ r b a	3
ITALIAN	ita	river	666	river	fjume	river:J	f j u m e		f j u m e	test
ITALIAN	ita	worm	1219	worm	vɛrme	worm:B	v ɛ r m e		v ɛ r m e	2
ITALIAN	ita	black	163	black	nero	black:F	n e r o		n e r o	4
ITALIAN	ita	split	1437	split	fɛndere	split:E	f ɛ n d e r e		f ɛ n d e r e	1
ITALIAN	ita	give	1447	give	dare	give:B	d a r e		d a r e	2
ITALIAN	ita	horn	1393	horn	kɔrno	horn:A	k ɔ r n o		k ɔ r n o	3
ITALIAN	ita	earth	1228	earth	tɛrra	earth:F	t ɛ rr a		t ɛ rr a	2
ITALIAN	ita	snake	730	snake	sɛrpe	snake:E	s ɛ r p e		s ɛ r p e	1
ITALIAN	ita	dog	2009	dog	kane	dog:A	k a n e		k a n e	5
ITALIAN	ita	stand	1442	stand	stare_im_pjɛdi	stand:B	s t a r e _ i m _ p j ɛ d i		s t a r e _ i m _ p j ɛ d i	5
ITALIAN	ita	in	1460	in	in	in:E	i n		i n	5
ITALIAN	ita	big	1202	big	grande	big:D	g r a n d e		g r a n d e	4
ITALIAN	ita	wing	1257	wing	ala	wing:G	a l a		a l a	4
ITALIAN	ita	if	1459	if	se	if:G	s e		s e	5
ITALIAN	ita	not	1240	not	nɔ	not:A	n ɔ		n ɔ	3
ITALIAN	ita	fly	1441	fly	volare	fly:E	v o l a r e		v o l a r e	test
ITALIAN	ita	say	1458	say	dire	say:F	d i r e		d i r e	1
ITALIAN	ita	you	1213	you	voi	you:A	v o i		v o i	1
ITALIAN	ita	warm	1232	warm	kaldo	warm:E	k a l d o		k a l d o	3
ITALIAN	ita	cloud	1489	cloud	nuvola	cloud:F	n u v o l a		n u v o l a	5
ITALIAN	ita	hand	1277	hand	mano	hand:E	m a n o		m a n o	test
ITALIAN	ita	ice	617	ice	gjattʃo	ice:G	g j a tt ʃ o		g j a tt ʃ o	test
ITALIAN	ita	tongue	1205	tongue	lingwa	tongue:W	l i n g w a		l i n g w a	test
ITALIAN	ita	seed	714	seed	seme	seed:B	s e m e		s e m e	5
ITALIAN	ita	suck	1421	suck	sukkjare	suck:B	s u kk j a r e		s u kk j a r e	test
ITALIAN	ita	fish	227	fish	peʃʃe	fish:B	p e ʃʃ e		p e ʃʃ e	2
ITALIAN	ita	live	1422	live	vivere	live:A	v i v e r e		v i v e r e	1
ITALIAN	ita	egg	744	egg	wɔvo	egg:A	w ɔ v o		w ɔ v o	test
ITALIAN	ita	green	1425	green	verde	green:G	v e r d e		v e r d e	2
ITALIAN	ita	thou	1215	thou	tu	thou:A	t u		t u	2
ITALIAN	ita	many	1198	many	molti	many:G	m o l t i		m o l t i	3
ITALIAN	ita	tie	1094	tie	legare	tie:C	l e g a r e		l e g a r e	3
ITALIAN	ita	tooth	1380	tooth	dɛnte	tooth:B	d ɛ n t e		d ɛ n t e	2
ITALIAN	ita	dust	2	dust	polvere	dust:F	p o l v e r e		p o l v e r e	5
ITALIAN	ita	sun	1343	sun	sole	sun:W	s o l e		s o l e	1
ITALIAN	ita	husband	1200	husband	marito	husband:E	m a r i t o		m a r i t o	test
ITALIAN	ita	feather	1201	feather	pjuma	feather:E	p j u m a		p j u m a	3
ITALIAN	ita	who	1235	who	ki	who:B	k i		k i	1
