language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
LATIN	lat	come	1446	come	weˈniːre	come:B	w e ˈn iː r e		w e ˈn iː r e	test
LATIN	lat	snow	784	snow	niks	snow:B	n i k s		n i k s	1
LATIN	lat	sing	1261	sing	ˈkanere	sing:D	ˈk a n e r e		ˈk a n e r e	3
LATIN	lat	tail	1220	tail	ˈkau̯da	tail:F	ˈk a u̯ d a		ˈk a u̯ d a	3
LATIN	lat	die	1494	die	ˈmoriː	die:A	ˈm o r iː		ˈm o r iː	2
LATIN	lat	cold	1287	cold	ˈfriːgidus	cold:E	ˈf r iː g i d u s		ˈf r iː g i d u s	5
LATIN	lat	name	1405	name	ˈnoːmen	name:A	ˈn oː m e n		ˈn oː m e n	test
LATIN	lat	water	948	water	ˈakʷa	water:E	ˈa kʷ a		ˈa kʷ a	test
LATIN	lat	what	1236	what	kʷid	what:A	kʷ i d		kʷ i d	test
LATIN	lat	kill	1417	kill	oˈkːiːdere	kill:O	o ˈkː iː d e r e		o ˈkː iː d e r e	3
LATIN	lat	root	670	root	ˈraːdiks	root:B	ˈr aː d i k s		ˈr aː d i k s	4
LATIN	lat	two	1498	two	ˈduo	two:A	ˈd u o		ˈd u o	5
LATIN	lat	at	1461	at	ad	at:R	a d		a d	5
LATIN	lat	four	1500	four	ˈkʷatːuor	four:N	ˈkʷ a tː u o r		ˈkʷ a tː u o r	5
LATIN	lat	person	683	person	perˈsoːna	person:D	p e r ˈs oː n a		p e r ˈs oː n a	3
LATIN	lat	rain	658	rain	ˈpluwia	rain:E	ˈp l u w i a		ˈp l u w i a	5
LATIN	lat	fear	1419	fear	tiˈmeːre	fear:F	t i ˈm eː r e		t i ˈm eː r e	2
LATIN	lat	neck	1333	neck	ˈkolːum	neck:B	ˈk o lː u m		ˈk o lː u m	2
LATIN	lat	throw	1456	throw	ˈjakere	throw:J	ˈj a k e r e		ˈj a k e r e	1
LATIN	lat	sit	1416	sit	seˈdeːre	sit:B	s e ˈd eː r e		s e ˈd eː r e	5
