language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
PORTUGUESE	por	sharp	1396	sharp	ɐɡuˈsadu	sharp:C	ɐ ɡ u ˈs a d u	
PORTUGUESE	por	come	1446	come	viɾ	come:B	v i ɾ	
PORTUGUESE	por	snow	784	snow	ˈnɛvɨ	snow:B	ˈn ɛ v ɨ	
PORTUGUESE	por	sing	1261	sing	kɐ̃ˈtaɾ	sing:D	k ɐ̃ ˈt a ɾ	
PORTUGUESE	por	tail	1220	tail	ˈkauðɐ	tail:F	ˈk a u ð ɐ	
PORTUGUESE	por	die	1494	die	muˈʀeɾ	die:A	m u ˈʀ e ɾ	
PORTUGUESE	por	cold	1287	cold	ˈfɾiu	cold:E	ˈf ɾ i u	
PORTUGUESE	por	name	1405	name	ˈnɔmɨ	name:A	ˈn ɔ m ɨ	
PORTUGUESE	por	water	948	water	ˈaɡwɐ	water:E	ˈa ɡ w ɐ	
PORTUGUESE	por	what	1236	what	kɨ	what:A	k ɨ	
PORTUGUESE	por	root	670	root	ɾɐˈiʃ	root:B	ɾ ɐ ˈi ʃ	
PORTUGUESE	por	two	1498	two	doiʃ	two:A	d o i ʃ	
PORTUGUESE	por	four	1500	four	ˈkuatɾu	four:N	ˈk u a t ɾ u	
PORTUGUESE	por	fear	1419	fear	tɨˈmeɾ	fear:F	t ɨ ˈm e ɾ	
PORTUGUESE	por	sit	1416	sit	ɨʃˈtaɾ_sẽˈtadu	sit:B	ɨ ʃ ˈt a ɾ _ s ẽ ˈt a d u	
PORTUGUESE	por	bone	1394	bone	ˈosu	bone:D	ˈo s u	
PORTUGUESE	por	right	1725	right	diˈɾɐjtu	right:C	d i ˈɾ ɐ j t u	
PORTUGUESE	por	flow	2003	flow	fluˈiɾ	flow:E	f l u ˈi ɾ	
PORTUGUESE	por	tree	906	tree	ˈaɾvuɾɨ	tree:F	ˈa ɾ v u ɾ ɨ	
PORTUGUESE	por	leaf	628	leaf	ˈfoʎɐ	leaf:B	ˈf o ʎ ɐ	
PORTUGUESE	por	animal	619	animal	ɐniˈmaɫ	animal:F	ɐ n i ˈm a ɫ	
PORTUGUESE	por	day	1225	day	ˈdiɐ	day:C	ˈd i ɐ	
PORTUGUESE	por	hair	1040	hair	kɐˈβelu	hair:G	k ɐ ˈβ e l u	
PORTUGUESE	por	few	1242	few	ˈpoouku	few:F	ˈp oo u k u	
PORTUGUESE	por	with	1340	with	kõ	with:E	k õ	
PORTUGUESE	por	stone	857	stone	ˈpɛdɾɐ	stone:E	ˈp ɛ d ɾ ɐ	
PORTUGUESE	por	eye	1248	eye	ˈoʎu	eye:B	ˈo ʎ u	
PORTUGUESE	por	grass	606	grass	ˈɛɾvɐ	grass:F	ˈɛ ɾ v ɐ	
PORTUGUESE	por	worm	1219	worm	ˈvɛɾmɨ	worm:B	ˈv ɛ ɾ m ɨ	
PORTUGUESE	por	black	163	black	neɡɾu	black:F	n e ɡ ɾ u	
PORTUGUESE	por	give	1447	give	daɾ	give:B	d a ɾ	
PORTUGUESE	por	earth	1228	earth	ˈtɛʀɐ	earth:F	ˈt ɛ ʀ ɐ	
PORTUGUESE	por	snake	730	snake	sɨɾˈpẽtɨ	snake:E	s ɨ ɾ ˈp ẽ t ɨ	
PORTUGUESE	por	walk	1443	walk	ɐ̃ˈdaɾ	walk:D	ɐ̃ ˈd a ɾ	
PORTUGUESE	por	dog	2009	dog	kɐ̃ũ	dog:A	k ɐ̃ ũ	
PORTUGUESE	por	thick	1244	thick	ɨʃˈpesu	thick:Q	ɨ ʃ ˈp e s u	
PORTUGUESE	por	in	1460	in	ɐ̃j	in:E	ɐ̃ j	
PORTUGUESE	por	big	1202	big	ˈɡɾɐ̃ðɨ	big:D	ˈɡ ɾ ɐ̃ ð ɨ	
PORTUGUESE	por	wing	1257	wing	ˈazɐ	wing:G	ˈa z ɐ	
PORTUGUESE	por	if	1459	if	sɨ	if:G	s ɨ	
PORTUGUESE	por	not	1240	not	nɐ̃ũ	not:A	n ɐ̃ ũ	
PORTUGUESE	por	fly	1441	fly	vuˈaɾ	fly:E	v u ˈa ɾ	
PORTUGUESE	por	say	1458	say	diˈzeɾ	say:F	d i ˈz e ɾ	
PORTUGUESE	por	you	1213	you	ˈvɔʃ	you:A	ˈv ɔ ʃ	
PORTUGUESE	por	cloud	1489	cloud	ˈnuvɐ̃j	cloud:F	ˈn u v ɐ̃ j	
PORTUGUESE	por	rotten	1728	rotten	ˈpodɾɨ	rotten:O	ˈp o d ɾ ɨ	
PORTUGUESE	por	hand	1277	hand	mɐ̃u	hand:E	m ɐ̃ u	
PORTUGUESE	por	ice	617	ice	ˈʒelu	ice:G	ˈʒ e l u	
PORTUGUESE	por	tongue	1205	tongue	ˈlĩguɐ	tongue:W	ˈl ĩ g u ɐ	
PORTUGUESE	por	wet	1726	wet	ˈumidu	wet:K	ˈu m i d u	
PORTUGUESE	por	head	1256	head	kɐˈβesɐ	head:B	k ɐ ˈβ e s ɐ	
PORTUGUESE	por	seed	714	seed	sɨˈmẽtɨ	seed:B	s ɨ ˈm ẽ t ɨ	
PORTUGUESE	por	float	1574	float	flutuˈaɾ	float:D	f l u t u ˈa ɾ	
PORTUGUESE	por	suck	1421	suck	suˈɡaɾ	suck:B	s u ˈɡ a ɾ	
PORTUGUESE	por	fish	227	fish	ˈpɐiʃɨ	fish:B	ˈp ɐ i ʃ ɨ	
PORTUGUESE	por	live	1422	live	viˈveɾ	live:A	v i ˈv e ɾ	
PORTUGUESE	por	egg	744	egg	ovu	egg:A	o v u	
PORTUGUESE	por	green	1425	green	ˈveɾdɨ	green:G	ˈv e ɾ d ɨ	
PORTUGUESE	por	thou	1215	thou	tu	thou:A	t u	
PORTUGUESE	por	many	1198	many	ˈmũĩtu	many:G	ˈm ũ ĩ t u	
PORTUGUESE	por	tooth	1380	tooth	ˈdẽtɨ	tooth:B	ˈd ẽ t ɨ	
PORTUGUESE	por	dust	2	dust	puˈejɾɐ	dust:F	p u ˈe j ɾ ɐ	
