language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
PORTUGUESE	por	sharp	1396	sharp	ɐɡuˈsadu	sharp:C	ɐ ɡ u ˈs a d u		ɐ ɡ u ˈs a d u	5
PORTUGUESE	por	come	1446	come	viɾ	come:B	v i ɾ		v i ɾ	1
PORTUGUESE	por	snow	784	snow	ˈnɛvɨ	snow:B	ˈn ɛ v ɨ		ˈn ɛ v ɨ	2
PORTUGUESE	por	sing	1261	sing	kɐ̃ˈtaɾ	sing:D	k ɐ̃ ˈt a ɾ		k ɐ̃ ˈt a ɾ	test
PORTUGUESE	por	tail	1220	tail	ˈkauðɐ	tail:F	ˈk a u ð ɐ		ˈk a u ð ɐ	test
PORTUGUESE	por	die	1494	die	muˈʀeɾ	die:A	m u ˈʀ e ɾ		m u ˈʀ e ɾ	4
PORTUGUESE	por	cold	1287	cold	ˈfɾiu	cold:E	ˈf ɾ i u		ˈf ɾ i u	test
PORTUGUESE	por	name	1405	name	ˈnɔmɨ	name:A	ˈn ɔ m ɨ		ˈn ɔ m ɨ	1
PORTUGUESE	por	water	948	water	ˈaɡwɐ	water:E	ˈa ɡ w ɐ		ˈa ɡ w ɐ	4
PORTUGUESE	por	what	1236	what	kɨ	what:A	k ɨ		k ɨ	1
PORTUGUESE	por	root	670	root	ɾɐˈiʃ	root:B	ɾ ɐ ˈi ʃ		ɾ ɐ ˈi ʃ	4
PORTUGUESE	por	two	1498	two	doiʃ	two:A	d o i ʃ		d o i ʃ	test
PORTUGUESE	por	four	1500	four	ˈkuatɾu	four:N	ˈk u a t ɾ u		ˈk u a t ɾ u	5
PORTUGUESE	por	fear	1419	fear	tɨˈmeɾ	fear:F	t ɨ ˈm e ɾ		t ɨ ˈm e ɾ	test
PORTUGUESE	por	sit	1416	sit	ɨʃˈtaɾ_sẽˈtadu	sit:B	ɨ ʃ ˈt a ɾ _ s ẽ ˈt a d u		ɨ ʃ ˈt a ɾ _ s ẽ ˈt a d u	2
PORTUGUESE	por	bone	1394	bone	ˈosu	bone:D	ˈo s u		ˈo s u	4
PORTUGUESE	por	right	1725	right	diˈɾɐjtu	right:C	d i ˈɾ ɐ j t u		d i ˈɾ ɐ j t u	1
PORTUGUESE	por	flow	2003	flow	fluˈiɾ	flow:E	f l u ˈi ɾ		f l u ˈi ɾ	test
PORTUGUESE	por	tree	906	tree	ˈaɾvuɾɨ	tree:F	ˈa ɾ v u ɾ ɨ		ˈa ɾ v u ɾ ɨ	2
PORTUGUESE	por	leaf	628	leaf	ˈfoʎɐ	leaf:B	ˈf o ʎ ɐ		ˈf o ʎ ɐ	5
PORTUGUESE	por	animal	619	animal	ɐniˈmaɫ	animal:F	ɐ n i ˈm a ɫ		ɐ n i ˈm a ɫ	5
PORTUGUESE	por	day	1225	day	ˈdiɐ	day:C	ˈd i ɐ		ˈd i ɐ	1
PORTUGUESE	por	hair	1040	hair	kɐˈβelu	hair:G	k ɐ ˈβ e l u		k ɐ ˈβ e l u	3
PORTUGUESE	por	few	1242	few	ˈpoouku	few:F	ˈp oo u k u		ˈp oo u k u	3
PORTUGUESE	por	with	1340	with	kõ	with:E	k õ		k õ	4
PORTUGUESE	por	stone	857	stone	ˈpɛdɾɐ	stone:E	ˈp ɛ d ɾ ɐ		ˈp ɛ d ɾ ɐ	test
PORTUGUESE	por	eye	1248	eye	ˈoʎu	eye:B	ˈo ʎ u		ˈo ʎ u	1
PORTUGUESE	por	grass	606	grass	ˈɛɾvɐ	grass:F	ˈɛ ɾ v ɐ		ˈɛ ɾ v ɐ	test
PORTUGUESE	por	worm	1219	worm	ˈvɛɾmɨ	worm:B	ˈv ɛ ɾ m ɨ		ˈv ɛ ɾ m ɨ	test
PORTUGUESE	por	black	163	black	neɡɾu	black:F	n e ɡ ɾ u		n e ɡ ɾ u	test
PORTUGUESE	por	give	1447	give	daɾ	give:B	d a ɾ		d a ɾ	1
PORTUGUESE	por	earth	1228	earth	ˈtɛʀɐ	earth:F	ˈt ɛ ʀ ɐ		ˈt ɛ ʀ ɐ	2
PORTUGUESE	por	snake	730	snake	sɨɾˈpẽtɨ	snake:E	s ɨ ɾ ˈp ẽ t ɨ		s ɨ ɾ ˈp ẽ t ɨ	2
PORTUGUESE	por	walk	1443	walk	ɐ̃ˈdaɾ	walk:D	ɐ̃ ˈd a ɾ		ɐ̃ ˈd a ɾ	4
PORTUGUESE	por	dog	2009	dog	kɐ̃ũ	dog:A	k ɐ̃ ũ		k ɐ̃ ũ	3
PORTUGUESE	por	thick	1244	thick	ɨʃˈpesu	thick:Q	ɨ ʃ ˈp e s u		ɨ ʃ ˈp e s u	5
PORTUGUESE	por	in	1460	in	ɐ̃j	in:E	ɐ̃ j		ɐ̃ j	2
PORTUGUESE	por	big	1202	big	ˈɡɾɐ̃ðɨ	big:D	ˈɡ ɾ ɐ̃ ð ɨ		ˈɡ ɾ ɐ̃ ð ɨ	4
PORTUGUESE	por	wing	1257	wing	ˈazɐ	wing:G	ˈa z ɐ		ˈa z ɐ	3
PORTUGUESE	por	if	1459	if	sɨ	if:G	s ɨ		s ɨ	1
PORTUGUESE	por	not	1240	not	nɐ̃ũ	not:A	n ɐ̃ ũ		n ɐ̃ ũ	3
PORTUGUESE	por	fly	1441	fly	vuˈaɾ	fly:E	v u ˈa ɾ		v u ˈa ɾ	3
PORTUGUESE	por	say	1458	say	diˈzeɾ	say:F	d i ˈz e ɾ		d i ˈz e ɾ	3
PORTUGUESE	por	you	1213	you	ˈvɔʃ	you:A	ˈv ɔ ʃ		ˈv ɔ ʃ	5
PORTUGUESE	por	cloud	1489	cloud	ˈnuvɐ̃j	cloud:F	ˈn u v ɐ̃ j		ˈn u v ɐ̃ j	4
PORTUGUESE	por	rotten	1728	rotten	ˈpodɾɨ	rotten:O	ˈp o d ɾ ɨ		ˈp o d ɾ ɨ	4
PORTUGUESE	por	hand	1277	hand	mɐ̃u	hand:E	m ɐ̃ u		m ɐ̃ u	4
PORTUGUESE	por	ice	617	ice	ˈʒelu	ice:G	ˈʒ e l u		ˈʒ e l u	1
PORTUGUESE	por	tongue	1205	tongue	ˈlĩguɐ	tongue:W	ˈl ĩ g u ɐ		ˈl ĩ g u ɐ	5
PORTUGUESE	por	wet	1726	wet	ˈumidu	wet:K	ˈu m i d u		ˈu m i d u	1
PORTUGUESE	por	head	1256	head	kɐˈβesɐ	head:B	k ɐ ˈβ e s ɐ		k ɐ ˈβ e s ɐ	2
PORTUGUESE	por	seed	714	seed	sɨˈmẽtɨ	seed:B	s ɨ ˈm ẽ t ɨ		s ɨ ˈm ẽ t ɨ	2
PORTUGUESE	por	float	1574	float	flutuˈaɾ	float:D	f l u t u ˈa ɾ		f l u t u ˈa ɾ	2
PORTUGUESE	por	suck	1421	suck	suˈɡaɾ	suck:B	s u ˈɡ a ɾ		s u ˈɡ a ɾ	5
PORTUGUESE	por	fish	227	fish	ˈpɐiʃɨ	fish:B	ˈp ɐ i ʃ ɨ		ˈp ɐ i ʃ ɨ	test
PORTUGUESE	por	live	1422	live	viˈveɾ	live:A	v i ˈv e ɾ		v i ˈv e ɾ	1
PORTUGUESE	por	egg	744	egg	ovu	egg:A	o v u		o v u	3
PORTUGUESE	por	green	1425	green	ˈveɾdɨ	green:G	ˈv e ɾ d ɨ		ˈv e ɾ d ɨ	5
PORTUGUESE	por	thou	1215	thou	tu	thou:A	t u		t u	4
PORTUGUESE	por	many	1198	many	ˈmũĩtu	many:G	ˈm ũ ĩ t u		ˈm ũ ĩ t u	3
PORTUGUESE	por	tooth	1380	tooth	ˈdẽtɨ	tooth:B	ˈd ẽ t ɨ		ˈd ẽ t ɨ	2
PORTUGUESE	por	dust	2	dust	puˈejɾɐ	dust:F	p u ˈe j ɾ ɐ		p u ˈe j ɾ ɐ	3
PORTUGUESE	por	sun	1343	sun	sɔl	sun:W	s ɔ l		s ɔ l	test
PORTUGUESE	por	husband	1200	husband	mɐˈɾiðu	husband:E	m ɐ ˈɾ i ð u		m ɐ ˈɾ i ð u	2
PORTUGUESE	por	feather	1201	feather	ˈpenɐ	feather:A	ˈp e n ɐ		ˈp e n ɐ	test
PORTUGUESE	por	who	1235	who	kɐ̃ĩ	who:B	k ɐ̃ ĩ		k ɐ̃ ĩ	3
PORTUGUESE	por	straight	1404	straight	diˈɾɐjtu	straight:M	d i ˈɾ ɐ j t u		d i ˈɾ ɐ j t u	2
