language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
LATIN	lat	sharp	1396	sharp	ˈaːker	sharp:C	ˈaː k e r		ˈaː k e r	5
LATIN	lat	come	1446	come	weˈniːre	come:B	w e ˈn iː r e		w e ˈn iː r e	1
LATIN	lat	snow	784	snow	niks	snow:B	n i k s		n i k s	2
LATIN	lat	sing	1261	sing	ˈkanere	sing:D	ˈk a n e r e		ˈk a n e r e	test
LATIN	lat	tail	1220	tail	ˈkau̯da	tail:F	ˈk a u̯ d a		ˈk a u̯ d a	test
LATIN	lat	die	1494	die	ˈmoriː	die:A	ˈm o r iː		ˈm o r iː	4
LATIN	lat	cold	1287	cold	ˈfriːgidus	cold:E	ˈf r iː g i d u s		ˈf r iː g i d u s	test
LATIN	lat	name	1405	name	ˈnoːmen	name:A	ˈn oː m e n		ˈn oː m e n	1
LATIN	lat	water	948	water	ˈakʷa	water:E	ˈa kʷ a		ˈa kʷ a	4
LATIN	lat	what	1236	what	kʷid	what:A	kʷ i d		kʷ i d	1
LATIN	lat	root	670	root	ˈraːdiks	root:B	ˈr aː d i k s		ˈr aː d i k s	4
LATIN	lat	two	1498	two	ˈduo	two:A	ˈd u o		ˈd u o	test
LATIN	lat	at	1461	at	ad	at:R	a d		a d	5
LATIN	lat	four	1500	four	ˈkʷatːuor	four:N	ˈkʷ a tː u o r		ˈkʷ a tː u o r	5
LATIN	lat	person	683	person	ˈhomoː	person:E	ˈh o m oː		ˈh o m oː	2
LATIN	lat	rain	658	rain	ˈpluwia	rain:E	ˈp l u w i a		ˈp l u w i a	4
LATIN	lat	fear	1419	fear	tiˈmeːre	fear:F	t i ˈm eː r e		t i ˈm eː r e	1
LATIN	lat	neck	1333	neck	ˈkolːum	neck:B	ˈk o lː u m		ˈk o lː u m	3
LATIN	lat	sit	1416	sit	seˈdeːre	sit:B	s e ˈd eː r e		s e ˈd eː r e	2
LATIN	lat	bone	1394	bone	os	bone:D	o s		o s	5
LATIN	lat	flow	2003	flow	ˈfluere	flow:E	ˈf l u e r e		ˈf l u e r e	5
LATIN	lat	tree	906	tree	ˈarbor	tree:F	ˈa r b o r		ˈa r b o r	1
LATIN	lat	leaf	628	leaf	ˈfolium	leaf:B	ˈf o l i u m		ˈf o l i u m	3
LATIN	lat	red	156	red	ˈruber	red:B	ˈr u b e r		ˈr u b e r	3
LATIN	lat	animal	619	animal	ˈanimal	animal:F	ˈa n i m a l		ˈa n i m a l	4
LATIN	lat	day	1225	day	ˈdieːs	day:C	ˈd i eː s		ˈd i eː s	test
LATIN	lat	hair	1040	hair	kaˈpilːiː	hair:G	k a ˈp i lː iː		k a ˈp i lː iː	test
LATIN	lat	few	1242	few	ˈpau̯kiː	few:F	ˈp a u̯ k iː		ˈp a u̯ k iː	test
LATIN	lat	with	1340	with	kum	with:E	k u m		k u m	test
LATIN	lat	stone	857	stone	ˈpetra	stone:E	ˈp e t r a		ˈp e t r a	test
LATIN	lat	eye	1248	eye	ˈokulus	eye:B	ˈo k u l u s		ˈo k u l u s	1
