language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
SPANISH	spa	sharp	1396	sharp	aɣuðo	sharp:C	a ɣ u ð o		a ɣ u ð o	5
SPANISH	spa	come	1446	come	beniɾ	come:B	b e n i ɾ		b e n i ɾ	1
SPANISH	spa	snow	784	snow	njeβe	snow:B	n j e β e		n j e β e	2
SPANISH	spa	sing	1261	sing	kantaɾ	sing:D	k a n t a ɾ		k a n t a ɾ	test
SPANISH	spa	tail	1220	tail	kola	tail:F	k o l a		k o l a	test
SPANISH	spa	die	1494	die	moɾiɾ	die:A	m o ɾ i ɾ		m o ɾ i ɾ	4
SPANISH	spa	cold	1287	cold	fɾio	cold:E	f ɾ i o		f ɾ i o	test
SPANISH	spa	name	1405	name	nombɾe	name:A	n o m b ɾ e		n o m b ɾ e	1
SPANISH	spa	water	948	water	aɣwa	water:E	a ɣ w a		a ɣ w a	4
SPANISH	spa	what	1236	what	ke	what:A	k e		k e	1
SPANISH	spa	root	670	root	raiθ	root:B	r a i θ		r a i θ	4
SPANISH	spa	two	1498	two	dos	two:A	d o s		d o s	test
SPANISH	spa	at	1461	at	a	at:R	a		a	5
SPANISH	spa	four	1500	four	kwatɾo	four:N	k w a t ɾ o		k w a t ɾ o	5
SPANISH	spa	person	683	person	ombɾe	person:E	o m b ɾ e		o m b ɾ e	2
SPANISH	spa	rain	658	rain	ʎuβja	rain:E	ʎ u β j a		ʎ u β j a	4
SPANISH	spa	fear	1419	fear	temeɾ	fear:F	t e m e ɾ		t e m e ɾ	1
SPANISH	spa	neck	1333	neck	kweʎo	neck:B	k w e ʎ o		k w e ʎ o	3
SPANISH	spa	sit	1416	sit	sentaɾse	sit:B	s e n t a ɾ s e		s e n t a ɾ s e	2
SPANISH	spa	bone	1394	bone	weso	bone:D	w e s o		w e s o	5
SPANISH	spa	flow	2003	flow	fluiɾ	flow:E	f l u i ɾ		f l u i ɾ	5
SPANISH	spa	tree	906	tree	aɾβol	tree:F	a ɾ β o l		a ɾ β o l	1
SPANISH	spa	leaf	628	leaf	oxa	leaf:B	o x a		o x a	3
SPANISH	spa	red	156	red	roxo	red:B	r o x o		r o x o	3
SPANISH	spa	animal	619	animal	animal	animal:F	a n i m a l		a n i m a l	4
SPANISH	spa	day	1225	day	dia	day:C	d i a		d i a	test
SPANISH	spa	hair	1040	hair	kaβeʎo	hair:G	k a β e ʎ o		k a β e ʎ o	test
SPANISH	spa	few	1242	few	poko	few:F	p o k o		p o k o	test
SPANISH	spa	with	1340	with	kon	with:E	k o n		k o n	test
SPANISH	spa	stone	857	stone	pjeðɾa	stone:E	p j e ð ɾ a		p j e ð ɾ a	test
SPANISH	spa	eye	1248	eye	oxo	eye:B	o x o		o x o	1
SPANISH	spa	grass	606	grass	jeɾβa	grass:F	j e ɾ β a		j e ɾ β a	1
SPANISH	spa	black	163	black	neɣɾo	black:F	n e ɣ ɾ o		n e ɣ ɾ o	1
SPANISH	spa	give	1447	give	daɾ	give:B	d a ɾ		d a ɾ	4
SPANISH	spa	horn	1393	horn	kweɾno	horn:A	k w e ɾ n o		k w e ɾ n o	3
SPANISH	spa	earth	1228	earth	tjera	earth:F	t j e r a		t j e r a	test
SPANISH	spa	snake	730	snake	seɾpjente	snake:E	s e ɾ p j e n t e		s e ɾ p j e n t e	1
SPANISH	spa	in	1460	in	en	in:E	e n		e n	4
SPANISH	spa	big	1202	big	ɡɾande	big:D	ɡ ɾ a n d e		ɡ ɾ a n d e	3
SPANISH	spa	wing	1257	wing	ala	wing:G	a l a		a l a	1
SPANISH	spa	if	1459	if	si	if:G	s i		s i	3
SPANISH	spa	not	1240	not	no	not:A	n o		n o	3
SPANISH	spa	fly	1441	fly	bolaɾ	fly:E	b o l a ɾ		b o l a ɾ	3
SPANISH	spa	say	1458	say	deθiɾ	say:F	d e θ i ɾ		d e θ i ɾ	5
SPANISH	spa	you	1213	you	bosotɾos	you:A	b o s o t ɾ o s		b o s o t ɾ o s	5
SPANISH	spa	warm	1232	warm	kaliðo	warm:E	k a l i ð o		k a l i ð o	5
SPANISH	spa	cloud	1489	cloud	nuβe	cloud:F	n u β e		n u β e	4
SPANISH	spa	rotten	1728	rotten	poðɾiðo	rotten:O	p o ð ɾ i ð o		p o ð ɾ i ð o	2
SPANISH	spa	hand	1277	hand	mano	hand:E	m a n o		m a n o	5
SPANISH	spa	ice	617	ice	jelo	ice:G	j e l o		j e l o	1
SPANISH	spa	tongue	1205	tongue	leŋɡwa	tongue:W	l e ŋ ɡ w a		l e ŋ ɡ w a	2
SPANISH	spa	head	1256	head	kaβeθa	head:B	k a β e θ a		k a β e θ a	2
SPANISH	spa	seed	714	seed	semiʎa	seed:B	s e m i ʎ a		s e m i ʎ a	2
SPANISH	spa	float	1574	float	flotaɾ	float:D	f l o t a ɾ		f l o t a ɾ	test
SPANISH	spa	fish	227	fish	peθ	fish:B	p e θ		p e θ	test
SPANISH	spa	live	1422	live	biβiɾ	live:A	b i β i ɾ		b i β i ɾ	1
