language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
DANISH	dan	sharp	1396	sharp	sg̥ʰɑ:b̥	sharp:B	s g̥ʰ ɑ: b̥			
DANISH	dan	come	1446	come	ˈg̥ʰʌmə	come:B	ˈg̥ʰ ʌ m ə			
DANISH	dan	yellow	1424	yellow	guˀl	yellow:A	g uˀ l			
DANISH	dan	snow	784	snow	sneˀ	snow:B	s n eˀ			
DANISH	dan	sing	1261	sing	ˈsøŋə	sing:B	ˈs ø ŋ ə			
DANISH	dan	tail	1220	tail	ˈsd̥jæɐ̠ˀd	tail:B	ˈs d̥ j æ ɐ̠ˀ d			
DANISH	dan	die	1494	die	d̥øˀ	die:B	d̥ øˀ			
DANISH	dan	cold	1287	cold	g̥ʰʌlˀ	cold:B	g̥ʰ ʌ lˀ			
DANISH	dan	name	1405	name	nɑwˀn	name:A	n ɑ wˀ n			
DANISH	dan	stick	1295	stick	ɡ̊ʰɛb	stick:Ab	ɡ̊ʰ ɛ b			
DANISH	dan	water	948	water	vanˀ	water:B	v a nˀ			
DANISH	dan	what	1236	what	va	what:A	v a			
DANISH	dan	fight	1423	fight	slʌs	fight:Q	s l ʌ s			
DANISH	dan	kill	1417	kill	ˈd̥øːðə	kill:T	ˈd̥ øː ð ə			
DANISH	dan	root	670	root	ʁoˀð	root:B	ʁ oˀ ð			
DANISH	dan	two	1498	two	d̥ʰoˀ	two:A	d̥ʰ oˀ			
DANISH	dan	at	1461	at	veð	at:U	v e ð			
DANISH	dan	narrow	1267	narrow	ˈd̥ʰʁɑŋˀ	narrow:O	ˈd̥ʰ ʁ ɑ ŋˀ			
DANISH	dan	turn	1588	turn	ˈvɛnə_sɑj	turn:U	ˈv ɛ n ə _ s ɑ j			
DANISH	dan	four	1500	four	ˈfi:ʌ	four:N	ˈf i: ʌ			
DANISH	dan	rain	658	rain	ʁɑjˀn	rain:B	ʁ ɑ jˀ n			
DANISH	dan	fear	1419	fear	ˈʁɑðəs	fear:J	ˈʁ ɑ ð ə s			
DANISH	dan	neck	1333	neck	halˀs	neck:B	h a lˀ s			
DANISH	dan	throw	1456	throw	g̥ʰasd̥ʰə	throw:I	g̥ʰ a s d̥ʰ ə			
DANISH	dan	sit	1416	sit	ˈseðə	sit:B	ˈs e ð ə			
DANISH	dan	bone	1394	bone	b̥eˀn	bone:B	b̥ eˀ n			
DANISH	dan	right	1725	right	ʁad̥ʰ	right:C	ʁ a d̥ʰ			
DANISH	dan	flow	2003	flow	ˈʁanə	flow:H	ˈʁ a n ə			
DANISH	dan	tree	906	tree	d̥ʰʁɛˀ	tree:C	d̥ʰ ʁ ɛˀ			
DANISH	dan	leaf	628	leaf	løˀw	leaf:I	l øˀ w			
DANISH	dan	red	156	red	ʁøðˀ	red:B	ʁ ø ðˀ			
DANISH	dan	animal	619	animal	ˈd̥yɐ̯ˀ	animal:A	ˈd̥ y ɐ̯ˀ			
DANISH	dan	swell	1573	swell	ˈsvulmə	swell:B	ˈs v u l m ə			
DANISH	dan	day	1225	day	d̥æˀ	day:B	d̥ æˀ			
DANISH	dan	hair	1040	hair	hɒˀ	hair:B	h ɒˀ			
DANISH	dan	few	1242	few	fɔˀ	few:F	f ɔˀ			
DANISH	dan	pull	1455	pull	ˈd̥ʁɑːwə	pull:J	ˈd̥ ʁ ɑː w ə			
DANISH	dan	back	1291	back	ʁœɡ	back:R	ʁ œ ɡ			
DANISH	dan	sand	671	sand	sanˀ	sand:B	s a nˀ			
DANISH	dan	with	1340	with	með	with:C	m e ð			
DANISH	dan	stone	857	stone	sd̥ʰen	stone:A	s d̥ʰ e n			
DANISH	dan	eye	1248	eye	ˈʌjə	eye:B	ˈʌ j ə			
DANISH	dan	grass	606	grass	g̥ʁas	grass:B	g̥ ʁ a s			
DANISH	dan	river	666	river	ɛlˀv	river:N	ɛ lˀ v			
DANISH	dan	worm	1219	worm	oɐ̯ˀm	worm:B	o ɐ̯ˀ m			
DANISH	dan	black	163	black	sɒ:d̥ʰ	black:B	s ɒ: d̥ʰ			
DANISH	dan	split	1437	split	ˈg̥ʰløːvə	split:I	ˈg̥ʰ l øː v ə			
DANISH	dan	give	1447	give	g̥i	give:A	g̥ i			
DANISH	dan	stab	1434	stab	ˈsd̥ʰeg̥ʰə	stab:B	ˈs d̥ʰ e g̥ʰ ə			
DANISH	dan	horn	1393	horn	hoɐ̯ˀn	horn:A	h o ɐ̯ˀ n			
DANISH	dan	earth	1228	earth	mulˀ	earth:H	m u lˀ			
DANISH	dan	snake	730	snake	ˈslɑŋə	snake:B	ˈs l ɑ ŋ ə			
DANISH	dan	walk	1443	walk	g̥ɔˀ	walk:G	g̥ ɔˀ			
DANISH	dan	dog	2009	dog	hunˀ	dog:A	h u nˀ			
DANISH	dan	stand	1442	stand	sd̥ʰɔˀ	stand:B	s d̥ʰ ɔˀ			
DANISH	dan	count	1420	count	ˈd̥ʰɛlə	count:A	ˈd̥ʰ ɛ l ə			
DANISH	dan	scratch	1436	scratch	ɡ̊ʰløˀ	scratch:I	ɡ̊ʰ l øˀ			
DANISH	dan	thick	1244	thick	d̥ʰyg̥ʰ	thick:A	d̥ʰ y g̥ʰ			
DANISH	dan	in	1460	in	i	in:E	i			
DANISH	dan	big	1202	big	ˈsd̥ʰoˀɐ̯	big:O	ˈs d̥ʰ oˀ ɐ̯			
DANISH	dan	wing	1257	wing	ˈveŋə	wing:J	ˈv e ŋ ə			
DANISH	dan	not	1240	not	eg̥ʰə	not:C	e g̥ʰ ə			
DANISH	dan	fly	1441	fly	ˈfly:və	fly:A	ˈf l y: v ə			
DANISH	dan	say	1458	say	si:	say:B	s i:			
DANISH	dan	you	1213	you	i	you:A	i			
DANISH	dan	warm	1232	warm	vɑˀm	warm:B	v ɑˀ m			
DANISH	dan	cloud	1489	cloud	sg̥ʰyˀ	cloud:J	s g̥ʰ yˀ			
DANISH	dan	rotten	1728	rotten	ˈʁʌðən	rotten:B	ˈʁ ʌ ð ə n			
DANISH	dan	hand	1277	hand	hʌnˀ	hand:B	h ʌ nˀ			
DANISH	dan	ice	617	ice	iˀs	ice:B	iˀ s			
DANISH	dan	tongue	1205	tongue	ˈd̥ʰɔŋə	tongue:W	ˈd̥ʰ ɔ ŋ ə			
DANISH	dan	wet	1726	wet	vɔˀð	wet:I	v ɔˀ ð			
DANISH	dan	head	1256	head	ho:əð	head:B	h o: ə ð			
DANISH	dan	seed	714	seed	sɛˀð	seed:B	s ɛˀ ð			
DANISH	dan	float	1574	float	ˈfly:ðə	float:D	ˈf l y: ð ə			
DANISH	dan	suck	1421	suck	ˈsu:ə	suck:B	ˈs u: ə			
DANISH	dan	fish	227	fish	fesg̥ʰ	fish:B	f e s g̥ʰ			
DANISH	dan	live	1422	live	boˀ	live:I	b oˀ			
DANISH	dan	push	1452	push	ˈsɡ̊ʰyːðə	push:C	ˈs ɡ̊ʰ yː ð ə			
DANISH	dan	egg	744	egg	ɛˀg̥	egg:A	ɛˀ g̥			
DANISH	dan	green	1425	green	g̥ʁɶ̝nˀ	green:B	g̥ ʁ ɶ̝ nˀ			
DANISH	dan	wife	1199	wife	ˈg̥ʰo:nə	wife:Z	ˈg̥ʰ o: n ə			
DANISH	dan	thou	1215	thou	du	thou:A	d u			
DANISH	dan	many	1198	many	ˈmɑŋə	many:H	ˈm ɑ ŋ ə			
