language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
OLD_NORSE	non	sharp	1396	sharp	skarpr	sharp:B	s k a r p r			
OLD_NORSE	non	come	1446	come	ˈkoma	come:B	ˈk o m a			
OLD_NORSE	non	yellow	1424	yellow	ɡulr	yellow:A	ɡ u l r			
OLD_NORSE	non	snow	784	snow	snjoːr	snow:B	s n j oː r			
OLD_NORSE	non	sing	1261	sing	ˈsynɣva	sing:B	ˈs y n ɣ v a			
OLD_NORSE	non	tail	1220	tail	stertr	tail:B	s t e r t r			
OLD_NORSE	non	die	1494	die	ˈdɛyja	die:B	ˈd ɛ y j a			
OLD_NORSE	non	cold	1287	cold	kaldr	cold:B	k a l d r			
OLD_NORSE	non	name	1405	name	nafn	name:A	n a f n			
OLD_NORSE	non	stick	1295	stick	kepːr	stick:Ab	k e pː r			
OLD_NORSE	non	water	948	water	vatn	water:B	v a t n			
OLD_NORSE	non	what	1236	what	ɣvat	what:A	ɣ v a t			
OLD_NORSE	non	fight	1423	fight	slaːsk	fight:Q	s l aː s k			
OLD_NORSE	non	kill	1417	kill	ˈdɛyða	kill:T	ˈd ɛ y ð a			
OLD_NORSE	non	root	670	root	roːt	root:B	r oː t			
OLD_NORSE	non	two	1498	two	tvɛir	two:A	t v ɛ i r			
OLD_NORSE	non	at	1461	at	við	at:U	v i ð			
OLD_NORSE	non	narrow	1267	narrow	θrɔnɣr	narrow:O	θ r ɔ n ɣ r			
OLD_NORSE	non	turn	1588	turn	ˈvenda	turn:U	ˈv e n d a			
OLD_NORSE	non	four	1500	four	ˈfjoːrir	four:N	ˈf j oː r i r			
OLD_NORSE	non	rain	658	rain	reɣn	rain:B	r e ɣ n			
OLD_NORSE	non	fear	1419	fear	ˈɣrɛðask	fear:J	ˈɣ r ɛ ð a s k			
OLD_NORSE	non	neck	1333	neck	hals	neck:B	h a l s			
OLD_NORSE	non	throw	1456	throw	ˈkasta	throw:I	ˈk a s t a			
OLD_NORSE	non	sit	1416	sit	ˈsitja	sit:B	ˈs i t j a			
OLD_NORSE	non	bone	1394	bone	bɛin	bone:B	b ɛ i n			
OLD_NORSE	non	right	1725	right	reːtːr	right:C	r eː tː r			
OLD_NORSE	non	flow	2003	flow	ˈrenːa	flow:H	ˈr e nː a			
OLD_NORSE	non	tree	906	tree	treː	tree:C	t r eː			
OLD_NORSE	non	leaf	628	leaf	lauf	leaf:I	l a u f			
OLD_NORSE	non	red	156	red	rauðr	red:B	r a u ð r			
OLD_NORSE	non	animal	619	animal	dyːr	animal:A	d yː r			
OLD_NORSE	non	swell	1573	swell	ˈsvelːa	swell:B	ˈs v e lː a			
OLD_NORSE	non	day	1225	day	daɣr	day:B	d a ɣ r			
OLD_NORSE	non	hair	1040	hair	haːr	hair:B	h aː r			
OLD_NORSE	non	few	1242	few	faːr	few:F	f aː r			
OLD_NORSE	non	pull	1455	pull	ˈdraɣa	pull:J	ˈd r a ɣ a			
OLD_NORSE	non	back	1291	back	ɣryɡːr	back:R	ɣ r y ɡː r			
OLD_NORSE	non	sand	671	sand	sandr	sand:B	s a n d r			
OLD_NORSE	non	with	1340	with	með	with:C	m e ð			
OLD_NORSE	non	stone	857	stone	stɛinː	stone:A	s t ɛ i nː			
OLD_NORSE	non	eye	1248	eye	ˈauɣa	eye:B	ˈa u ɣ a			
OLD_NORSE	non	grass	606	grass	ɡras	grass:B	ɡ r a s			
OLD_NORSE	non	river	666	river	elfr	river:N	e l f r			
OLD_NORSE	non	worm	1219	worm	ormr	worm:B	o r m r			
OLD_NORSE	non	black	163	black	svartr	black:B	s v a r t r			
OLD_NORSE	non	split	1437	split	ˈkljuːva	split:I	ˈk l j uː v a			
OLD_NORSE	non	give	1447	give	ˈɡeva	give:A	ˈɡ e v a			
OLD_NORSE	non	stab	1434	stab	ˈstinɣa	stab:B	ˈs t i n ɣ a			
OLD_NORSE	non	horn	1393	horn	horn	horn:A	h o r n			
OLD_NORSE	non	earth	1228	earth	mold	earth:H	m o l d			
OLD_NORSE	non	snake	730	snake	ˈslanɣi	snake:B	ˈs l a n ɣ i			
OLD_NORSE	non	walk	1443	walk	ˈɡanɣa	walk:G	ˈɡ a n ɣ a			
OLD_NORSE	non	dog	2009	dog	hundr	dog:A	h u n d r			
OLD_NORSE	non	stand	1442	stand	ˈstanda	stand:B	ˈs t a n d a			
OLD_NORSE	non	count	1420	count	ˈtelja	count:A	ˈt e l j a			
OLD_NORSE	non	scratch	1436	scratch	klaː	scratch:I	k l aː			
OLD_NORSE	non	thick	1244	thick	θykːr	thick:A	θ y kː r			
OLD_NORSE	non	in	1460	in	iː	in:E	iː			
OLD_NORSE	non	big	1202	big	stoːrː	big:O	s t oː rː			
OLD_NORSE	non	wing	1257	wing	vɛnɣr	wing:J	v ɛ n ɣ r			
OLD_NORSE	non	not	1240	not	ˈekːi	not:C	ˈe kː i			
OLD_NORSE	non	fly	1441	fly	ˈfljuːɣa	fly:A	ˈf l j uː ɣ a			
OLD_NORSE	non	say	1458	say	ˈseɣja	say:B	ˈs e ɣ j a			
OLD_NORSE	non	you	1213	you	θeːr	you:A	θ eː r			
OLD_NORSE	non	warm	1232	warm	varmr	warm:B	v a r m r			
OLD_NORSE	non	cloud	1489	cloud	skyː	cloud:J	s k yː			
OLD_NORSE	non	rotten	1728	rotten	ˈrotinː	rotten:B	ˈr o t i nː			
OLD_NORSE	non	hand	1277	hand	hɔnd	hand:B	h ɔ n d			
OLD_NORSE	non	ice	617	ice	iːsː	ice:B	iː sː			
OLD_NORSE	non	tongue	1205	tongue	ˈtunɣa	tongue:W	ˈt u n ɣ a			
OLD_NORSE	non	wet	1726	wet	vaːtr	wet:I	v aː t r			
OLD_NORSE	non	head	1256	head	ˈhɔvuð	head:B	ˈh ɔ v u ð			
OLD_NORSE	non	seed	714	seed	saːð	seed:B	s aː ð			
OLD_NORSE	non	float	1574	float	ˈfljoːta	float:D	ˈf l j oː t a			
OLD_NORSE	non	suck	1421	suck	ˈsuːɣa	suck:B	ˈs uː ɣ a			
OLD_NORSE	non	fish	227	fish	fiskr	fish:B	f i s k r			
OLD_NORSE	non	live	1422	live	buːa	live:I	b uː a			
OLD_NORSE	non	push	1452	push	ˈskjoːta	push:C	ˈs k j oː t a			
OLD_NORSE	non	egg	744	egg	eɡː	egg:A	e ɡː			
OLD_NORSE	non	green	1425	green	ɡrøːnː	green:B	ɡ r øː nː			
OLD_NORSE	non	wife	1199	wife	ˈkona	wife:Z	ˈk o n a			
