language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
FAROESE	fao	sharp	1396	sharp	ˈskaɹpʰʊɹ	sharp:B	ˈs k a ɹ pʰ ʊ ɹ		ˈs k a ɹ pʰ ʊ ɹ	2
FAROESE	fao	come	1446	come	ˈkʰoːma	come:B	ˈkʰ oː m a		ˈkʰ oː m a	test
FAROESE	fao	yellow	1424	yellow	ˈɡ̊uːlʊɹ	yellow:A	ˈɡ̊ uː l ʊ ɹ		ˈɡ̊ uː l ʊ ɹ	1
FAROESE	fao	snow	784	snow	ˈsnjɛɡ̊vʊɹ	snow:B	ˈs n j ɛ ɡ̊ v ʊ ɹ		ˈs n j ɛ ɡ̊ v ʊ ɹ	1
FAROESE	fao	sing	1261	sing	ˈsɪɲd̥ʒa	sing:B	ˈs ɪ ɲ d̥ ʒ a		ˈs ɪ ɲ d̥ ʒ a	4
FAROESE	fao	tail	1220	tail	veːl	tail:Ad	v eː l		v eː l	1
FAROESE	fao	die	1494	die	ˈand̥ast	die:F	ˈa n d̥ a s t		ˈa n d̥ a s t	test
FAROESE	fao	cold	1287	cold	ˈkʰald̥ʊɹ	cold:B	ˈkʰ a l d̥ ʊ ɹ		ˈkʰ a l d̥ ʊ ɹ	test
FAROESE	fao	name	1405	name	naun	name:A	n a u n		n a u n	test
FAROESE	fao	stick	1295	stick	ˈstɛaːvʊɹ	stick:D	ˈs t ɛ aː v ʊ ɹ		ˈs t ɛ aː v ʊ ɹ	2
FAROESE	fao	water	948	water	vaʰtn̥	water:B	v aʰ t n̥		v aʰ t n̥	2
FAROESE	fao	what	1236	what	kʰvɛaːt	what:A	kʰ v ɛ aː t		kʰ v ɛ aː t	5
FAROESE	fao	fight	1423	fight	ˈb̥ɛɹjast	fight:H	ˈb̥ ɛ ɹ j a s t		ˈb̥ ɛ ɹ j a s t	2
FAROESE	fao	kill	1417	kill	ˈd̥ɛiːja	kill:T	ˈd̥ ɛ iː j a		ˈd̥ ɛ iː j a	1
FAROESE	fao	root	670	root	ɹɔuːt	root:B	ɹ ɔ uː t		ɹ ɔ uː t	3
FAROESE	fao	two	1498	two	tʰvaiːɹ	two:A	tʰ v a iː ɹ		tʰ v a iː ɹ	1
FAROESE	fao	at	1461	at	ɔaː	at:R	ɔ aː		ɔ aː	2
FAROESE	fao	narrow	1267	narrow	ˈmjɔaːvʊɹ	narrow:H	ˈm j ɔ aː v ʊ ɹ		ˈm j ɔ aː v ʊ ɹ	5
FAROESE	fao	turn	1588	turn	ˈvɛnd̥a	turn:U	ˈv ɛ n d̥ a		ˈv ɛ n d̥ a	4
FAROESE	fao	four	1500	four	ˈfʊiːɹa	four:N	ˈf ʊ iː ɹ a		ˈf ʊ iː ɹ a	3
