language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
OLD_NORSE	non	sharp	1396	sharp	skarpr	sharp:B	s k a r p r		s k a r p r	2
OLD_NORSE	non	come	1446	come	ˈkoma	come:B	ˈk o m a		ˈk o m a	test
OLD_NORSE	non	yellow	1424	yellow	ɡulr	yellow:A	ɡ u l r		ɡ u l r	1
OLD_NORSE	non	snow	784	snow	snjoːr	snow:B	s n j oː r		s n j oː r	1
OLD_NORSE	non	sing	1261	sing	ˈsynɣva	sing:B	ˈs y n ɣ v a		ˈs y n ɣ v a	4
OLD_NORSE	non	tail	1220	tail	ˈveːli	tail:Ad	ˈv eː l i		ˈv eː l i	1
OLD_NORSE	non	die	1494	die	ˈandask	die:F	ˈa n d a s k		ˈa n d a s k	test
OLD_NORSE	non	cold	1287	cold	kaldr	cold:B	k a l d r		k a l d r	test
OLD_NORSE	non	name	1405	name	nafn	name:A	n a f n		n a f n	test
OLD_NORSE	non	stick	1295	stick	stavr	stick:D	s t a v r		s t a v r	2
OLD_NORSE	non	water	948	water	vatn	water:B	v a t n		v a t n	2
OLD_NORSE	non	what	1236	what	ɣvat	what:A	ɣ v a t		ɣ v a t	5
OLD_NORSE	non	fight	1423	fight	ˈberjask	fight:H	ˈb e r j a s k		ˈb e r j a s k	2
OLD_NORSE	non	kill	1417	kill	ˈdɛyða	kill:T	ˈd ɛ y ð a		ˈd ɛ y ð a	1
OLD_NORSE	non	root	670	root	roːt	root:B	r oː t		r oː t	3
OLD_NORSE	non	two	1498	two	tvɛir	two:A	t v ɛ i r		t v ɛ i r	1
OLD_NORSE	non	at	1461	at	at	at:R	a t		a t	2
OLD_NORSE	non	narrow	1267	narrow	mjoːr	narrow:H	m j oː r		m j oː r	5
OLD_NORSE	non	turn	1588	turn	ˈvenda	turn:U	ˈv e n d a		ˈv e n d a	4
OLD_NORSE	non	four	1500	four	ˈfjoːrir	four:N	ˈf j oː r i r		ˈf j oː r i r	3
OLD_NORSE	non	person	683	person	maðr	person:A	m a ð r		m a ð r	5
OLD_NORSE	non	rain	658	rain	reɣn	rain:B	r e ɣ n		r e ɣ n	4
OLD_NORSE	non	fear	1419	fear	ˈɣrɛðask	fear:J	ˈɣ r ɛ ð a s k		ˈɣ r ɛ ð a s k	test
OLD_NORSE	non	neck	1333	neck	hals	neck:B	h a l s		h a l s	test
OLD_NORSE	non	throw	1456	throw	ˈkasta	throw:I	ˈk a s t a		ˈk a s t a	5
OLD_NORSE	non	sit	1416	sit	ˈsitja	sit:B	ˈs i t j a		ˈs i t j a	5
OLD_NORSE	non	bone	1394	bone	bɛin	bone:B	b ɛ i n		b ɛ i n	test
OLD_NORSE	non	right	1725	right	reːtːr	right:C	r eː tː r		r eː tː r	4
OLD_NORSE	non	flow	2003	flow	ˈrenːa	flow:H	ˈr e nː a		ˈr e nː a	test
OLD_NORSE	non	tree	906	tree	treː	tree:C	t r eː		t r eː	4
OLD_NORSE	non	leaf	628	leaf	lauf	leaf:I	l a u f		l a u f	1
OLD_NORSE	non	red	156	red	rauðr	red:B	r a u ð r		r a u ð r	5
OLD_NORSE	non	animal	619	animal	dyːr	animal:A	d yː r		d yː r	2
OLD_NORSE	non	swell	1573	swell	ˈθruːtna	swell:R	ˈθ r uː t n a		ˈθ r uː t n a	3
OLD_NORSE	non	day	1225	day	daɣr	day:B	d a ɣ r		d a ɣ r	4
OLD_NORSE	non	hair	1040	hair	haːr	hair:B	h aː r		h aː r	test
OLD_NORSE	non	few	1242	few	faːr	few:F	f aː r		f aː r	1
OLD_NORSE	non	pull	1455	pull	ˈdraɣa	pull:J	ˈd r a ɣ a		ˈd r a ɣ a	1
OLD_NORSE	non	back	1291	back	bak	back:B	b a k		b a k	2
OLD_NORSE	non	sand	671	sand	sandr	sand:B	s a n d r		s a n d r	test
OLD_NORSE	non	with	1340	with	við	with:G	v i ð		v i ð	test
OLD_NORSE	non	stone	857	stone	stɛinː	stone:A	s t ɛ i nː		s t ɛ i nː	5
OLD_NORSE	non	eye	1248	eye	ˈauɣa	eye:B	ˈa u ɣ a		ˈa u ɣ a	1
OLD_NORSE	non	grass	606	grass	ɡras	grass:B	ɡ r a s		ɡ r a s	2
OLD_NORSE	non	leg	1297	leg	foːtr	leg:Q	f oː t r		f oː t r	1
OLD_NORSE	non	river	666	river	elfr	river:N	e l f r		e l f r	1
OLD_NORSE	non	worm	1219	worm	maðkr	worm:F	m a ð k r		m a ð k r	3
OLD_NORSE	non	black	163	black	svartr	black:B	s v a r t r		s v a r t r	1
OLD_NORSE	non	split	1437	split	ˈkljuːva	split:I	ˈk l j uː v a		ˈk l j uː v a	4
