language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
ICELANDIC	isl	sharp	1396	sharp	ˈskar̥pʰʏr	sharp:B	ˈs k a r̥ pʰ ʏ r	
ICELANDIC	isl	come	1446	come	ˈkʰɔːma	come:B	ˈkʰ ɔː m a	
ICELANDIC	isl	yellow	1424	yellow	ˈɡ̊ʏːlʏr	yellow:A	ˈɡ̊ ʏː l ʏ r	
ICELANDIC	isl	snow	784	snow	stnjouːr	snow:B	s t n j o uː r	
ICELANDIC	isl	sing	1261	sing	ˈsɪɲca	sing:B	ˈs ɪ ɲ c a	
ICELANDIC	isl	tail	1220	tail	ˈvjɛːlɪ	tail:Ad	ˈv j ɛː l ɪ	
ICELANDIC	isl	die	1494	die	ˈand̥ast	die:F	ˈa n d̥ a s t	
ICELANDIC	isl	cold	1287	cold	ˈkʰald̥ʏr	cold:B	ˈkʰ a l d̥ ʏ r	
ICELANDIC	isl	name	1405	name	napn	name:A	n a p n	
ICELANDIC	isl	stick	1295	stick	ˈstaːvʏr	stick:D	ˈs t aː v ʏ r	
ICELANDIC	isl	water	948	water	vaʰtn̥	water:B	v aʰ t n̥	
ICELANDIC	isl	what	1236	what	xʷaːð	what:A	xʷ aː ð	
ICELANDIC	isl	fight	1423	fight	ˈb̥ɛrjast	fight:H	ˈb̥ ɛ r j a s t	
ICELANDIC	isl	kill	1417	kill	ˈd̥eiːða	kill:T	ˈd̥ e iː ð a	
ICELANDIC	isl	root	670	root	rouːt	root:B	r o uː t	
ICELANDIC	isl	two	1498	two	tveiːr	two:A	t v e iː r	
ICELANDIC	isl	at	1461	at	vɪːð	at:U	v ɪː ð	
ICELANDIC	isl	narrow	1267	narrow	mjouːr	narrow:H	m j o uː r	
ICELANDIC	isl	turn	1588	turn	ˈvɛnd̥a	turn:U	ˈv ɛ n d̥ a	
ICELANDIC	isl	four	1500	four	ˈfjouːrɪr	four:N	ˈf j o uː r ɪ r	
ICELANDIC	isl	person	683	person	ˈmaːðʏr	person:A	ˈm aː ð ʏ r	
ICELANDIC	isl	rain	658	rain	rɛɡ̊n	rain:B	r ɛ ɡ̊ n	
ICELANDIC	isl	fear	1419	fear	ˈr̥aiːðast	fear:J	ˈr̥ a iː ð a s t	
ICELANDIC	isl	neck	1333	neck	hauls	neck:B	h a u l s	
ICELANDIC	isl	throw	1456	throw	ˈkʰasta	throw:I	ˈkʰ a s t a	
ICELANDIC	isl	sit	1416	sit	ˈsɪːtja	sit:B	ˈs ɪː t j a	
ICELANDIC	isl	bone	1394	bone	b̥eiːn	bone:B	b̥ e iː n	
ICELANDIC	isl	right	1725	right	ˈrjɛʰtːʏr	right:C	ˈr j ɛʰ tː ʏ r	
ICELANDIC	isl	flow	2003	flow	ˈrɛnːa	flow:H	ˈr ɛ nː a	
ICELANDIC	isl	tree	906	tree	tʰrjɛː	tree:C	tʰ r j ɛː	
ICELANDIC	isl	leaf	628	leaf	løɪːf	leaf:I	l ø ɪː f	
ICELANDIC	isl	red	156	red	ˈrøɪːðʏr	red:B	ˈr ø ɪː ð ʏ r	
ICELANDIC	isl	animal	619	animal	d̥iːr	animal:A	d̥ iː r	
ICELANDIC	isl	swell	1573	swell	ˈsvɛd̥la	swell:B	ˈs v ɛ d̥ l a	
ICELANDIC	isl	day	1225	day	ˈd̥aːɣʏr	day:B	ˈd̥ aː ɣ ʏ r	
ICELANDIC	isl	hair	1040	hair	hauːr	hair:B	h a uː r	
ICELANDIC	isl	few	1242	few	ˈfauːɪr	few:F	ˈf a uː ɪ r	
ICELANDIC	isl	pull	1455	pull	ˈd̥raːɣa	pull:J	ˈd̥ r aː ɣ a	
ICELANDIC	isl	back	1291	back	b̥aːk	back:B	b̥ aː k	
ICELANDIC	isl	sand	671	sand	ˈsand̥ʏr	sand:B	ˈs a n d̥ ʏ r	
ICELANDIC	isl	with	1340	with	mɛːð	with:C	m ɛː ð	
ICELANDIC	isl	stone	857	stone	steid̥n	stone:A	s t e i d̥ n	
ICELANDIC	isl	eye	1248	eye	ˈøɪːɣa	eye:B	ˈø ɪː ɣ a	
ICELANDIC	isl	grass	606	grass	ˈɡ̊raːs	grass:B	ˈɡ̊ r aː s	
ICELANDIC	isl	leg	1297	leg	ˈfouːtʰʏr	leg:Q	ˈf o uː tʰ ʏ r	
ICELANDIC	isl	river	666	river	ˈɛlvʏr	river:N	ˈɛ l v ʏ r	
ICELANDIC	isl	worm	1219	worm	ˈmaθkʰʏr	worm:F	ˈm a θ kʰ ʏ r	
ICELANDIC	isl	black	163	black	ˈsvar̥tʰʏr	black:B	ˈs v a r̥ tʰ ʏ r	
ICELANDIC	isl	split	1437	split	ˈkʰljuːva	split:I	ˈkʰ l j uː v a	
ICELANDIC	isl	give	1447	give	ˈcɛːva	give:A	ˈc ɛː v a	
