language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
ICELANDIC	isl	sharp	1396	sharp	ˈskar̥pʰʏr	sharp:B	ˈs k a r̥ pʰ ʏ r		ˈs k a r̥ pʰ ʏ r	2
ICELANDIC	isl	come	1446	come	ˈkʰɔːma	come:B	ˈkʰ ɔː m a		ˈkʰ ɔː m a	test
ICELANDIC	isl	yellow	1424	yellow	ˈɡ̊ʏːlʏr	yellow:A	ˈɡ̊ ʏː l ʏ r		ˈɡ̊ ʏː l ʏ r	1
ICELANDIC	isl	snow	784	snow	stnjouːr	snow:B	s t n j o uː r		s t n j o uː r	1
ICELANDIC	isl	sing	1261	sing	ˈsɪɲca	sing:B	ˈs ɪ ɲ c a		ˈs ɪ ɲ c a	4
ICELANDIC	isl	tail	1220	tail	ˈvjɛːlɪ	tail:Ad	ˈv j ɛː l ɪ		ˈv j ɛː l ɪ	1
ICELANDIC	isl	die	1494	die	ˈand̥ast	die:F	ˈa n d̥ a s t		ˈa n d̥ a s t	test
ICELANDIC	isl	cold	1287	cold	ˈkʰald̥ʏr	cold:B	ˈkʰ a l d̥ ʏ r		ˈkʰ a l d̥ ʏ r	test
ICELANDIC	isl	name	1405	name	napn	name:A	n a p n		n a p n	test
ICELANDIC	isl	stick	1295	stick	ˈstaːvʏr	stick:D	ˈs t aː v ʏ r		ˈs t aː v ʏ r	2
ICELANDIC	isl	water	948	water	vaʰtn̥	water:B	v aʰ t n̥		v aʰ t n̥	2
ICELANDIC	isl	what	1236	what	xʷaːð	what:A	xʷ aː ð		xʷ aː ð	5
ICELANDIC	isl	fight	1423	fight	ˈb̥ɛrjast	fight:H	ˈb̥ ɛ r j a s t		ˈb̥ ɛ r j a s t	2
ICELANDIC	isl	kill	1417	kill	ˈd̥eiːða	kill:T	ˈd̥ e iː ð a		ˈd̥ e iː ð a	1
ICELANDIC	isl	root	670	root	rouːt	root:B	r o uː t		r o uː t	3
ICELANDIC	isl	two	1498	two	tveiːr	two:A	t v e iː r		t v e iː r	1
ICELANDIC	isl	at	1461	at	vɪːð	at:U	v ɪː ð		v ɪː ð	2
ICELANDIC	isl	narrow	1267	narrow	mjouːr	narrow:H	m j o uː r		m j o uː r	5
ICELANDIC	isl	turn	1588	turn	ˈvɛnd̥a	turn:U	ˈv ɛ n d̥ a		ˈv ɛ n d̥ a	4
ICELANDIC	isl	four	1500	four	ˈfjouːrɪr	four:N	ˈf j o uː r ɪ r		ˈf j o uː r ɪ r	3
ICELANDIC	isl	person	683	person	ˈmaːðʏr	person:A	ˈm aː ð ʏ r		ˈm aː ð ʏ r	5
ICELANDIC	isl	rain	658	rain	rɛɡ̊n	rain:B	r ɛ ɡ̊ n		r ɛ ɡ̊ n	2
ICELANDIC	isl	fear	1419	fear	ˈr̥aiːðast	fear:J	ˈr̥ a iː ð a s t		ˈr̥ a iː ð a s t	test
ICELANDIC	isl	neck	1333	neck	hauls	neck:B	h a u l s		h a u l s	test
ICELANDIC	isl	throw	1456	throw	ˈkʰasta	throw:I	ˈkʰ a s t a		ˈkʰ a s t a	5
ICELANDIC	isl	sit	1416	sit	ˈsɪːtja	sit:B	ˈs ɪː t j a		ˈs ɪː t j a	5
ICELANDIC	isl	bone	1394	bone	b̥eiːn	bone:B	b̥ e iː n		b̥ e iː n	test
