language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
NORWEGIAN_RIKSMAL	nor	sharp	1396	sharp	skaɾp	sharp:B	s k a ɾ p		s k a ɾ p	2
NORWEGIAN_RIKSMAL	nor	come	1446	come	ˈkɔ̀mːə	come:B	ˈk ɔ̀ mː ə		ˈk ɔ̀ mː ə	4
NORWEGIAN_RIKSMAL	nor	yellow	1424	yellow	ɡʉːɽ	yellow:A	ɡ ʉː ɽ		ɡ ʉː ɽ	test
NORWEGIAN_RIKSMAL	nor	snow	784	snow	sneː	snow:B	s n eː		s n eː	5
NORWEGIAN_RIKSMAL	nor	sing	1261	sing	ˈsʏ̀ŋːə	sing:B	ˈs ʏ̀ ŋː ə		ˈs ʏ̀ ŋː ə	test
NORWEGIAN_RIKSMAL	nor	tail	1220	tail	ˈʋèːlə	tail:Ad	ˈʋ èː l ə		ˈʋ èː l ə	1
NORWEGIAN_RIKSMAL	nor	die	1494	die	døː	die:B	d øː		d øː	4
NORWEGIAN_RIKSMAL	nor	cold	1287	cold	kalː	cold:B	k a lː		k a lː	3
NORWEGIAN_RIKSMAL	nor	name	1405	name	naʋn	name:A	n a ʋ n		n a ʋ n	4
NORWEGIAN_RIKSMAL	nor	stick	1295	stick	staːʋ	stick:D	s t aː ʋ		s t aː ʋ	4
NORWEGIAN_RIKSMAL	nor	water	948	water	ʋanː	water:B	ʋ a nː		ʋ a nː	3
NORWEGIAN_RIKSMAL	nor	what	1236	what	ʋaː	what:A	ʋ aː		ʋ aː	4
NORWEGIAN_RIKSMAL	nor	fight	1423	fight	ʃlɔsː	fight:Q	ʃ l ɔ sː		ʃ l ɔ sː	3
NORWEGIAN_RIKSMAL	nor	kill	1417	kill	ˈdɾèːpə	kill:B	ˈd ɾ èː p ə		ˈd ɾ èː p ə	4
NORWEGIAN_RIKSMAL	nor	root	670	root	ɾuːt	root:B	ɾ uː t		ɾ uː t	4
NORWEGIAN_RIKSMAL	nor	two	1498	two	tuː	two:A	t uː		t uː	3
NORWEGIAN_RIKSMAL	nor	at	1461	at	ʋeːd	at:U	ʋ eː d		ʋ eː d	4
NORWEGIAN_RIKSMAL	nor	narrow	1267	narrow	tɾaŋː	narrow:O	t ɾ a ŋː		t ɾ a ŋː	2
NORWEGIAN_RIKSMAL	nor	turn	1588	turn	ˈvɛ̀nːə	turn:U	ˈv ɛ̀ nː ə		ˈv ɛ̀ nː ə	2
