language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
FRENCH	fra	come	1446	come	vəniʀ	come:B	v ə n i ʀ		v ə n i ʀ	2
FRENCH	fra	snow	784	snow	nɛʒ	snow:B	n ɛ ʒ		n ɛ ʒ	1
FRENCH	fra	sing	1261	sing	ʃɑ̃te	sing:D	ʃ ɑ̃ t e		ʃ ɑ̃ t e	test
FRENCH	fra	tail	1220	tail	kø	tail:F	k ø		k ø	5
FRENCH	fra	die	1494	die	muʀiʀ	die:A	m u ʀ i ʀ		m u ʀ i ʀ	4
FRENCH	fra	cold	1287	cold	fʀwɑ	cold:E	f ʀ w ɑ		f ʀ w ɑ	test
FRENCH	fra	name	1405	name	nɔ̃	name:A	n ɔ̃		n ɔ̃	3
FRENCH	fra	water	948	water	o	water:E	o		o	3
FRENCH	fra	what	1236	what	kə	what:A	k ə		k ə	4
FRENCH	fra	root	670	root	ʀasin	root:B	ʀ a s i n		ʀ a s i n	test
FRENCH	fra	two	1498	two	dø	two:A	d ø		d ø	2
FRENCH	fra	at	1461	at	a	at:R	a		a	1
FRENCH	fra	four	1500	four	katʀ	four:N	k a t ʀ		k a t ʀ	3
FRENCH	fra	person	683	person	pɛʀsɔn	person:D	p ɛ ʀ s ɔ n		p ɛ ʀ s ɔ n	test
FRENCH	fra	rain	658	rain	pløvwaʀ	rain:E	p l ø v w a ʀ		p l ø v w a ʀ	3
FRENCH	fra	neck	1333	neck	ku	neck:B	k u		k u	1
FRENCH	fra	throw	1456	throw	ʒəte	throw:J	ʒ ə t e		ʒ ə t e	test
FRENCH	fra	sit	1416	sit	aswaʀ	sit:B	a s w a ʀ		a s w a ʀ	2
FRENCH	fra	bone	1394	bone	ɔs	bone:D	ɔ s		ɔ s	1
FRENCH	fra	tree	906	tree	aʀbʀ	tree:F	a ʀ b ʀ		a ʀ b ʀ	test
FRENCH	fra	leaf	628	leaf	fœj	leaf:B	f œ j		f œ j	5
FRENCH	fra	red	156	red	ʀuʒ	red:B	ʀ u ʒ		ʀ u ʒ	2
FRENCH	fra	animal	619	animal	animal	animal:F	a n i m a l		a n i m a l	5
FRENCH	fra	day	1225	day	ʒuʀ	day:C	ʒ u ʀ		ʒ u ʀ	2
FRENCH	fra	hair	1040	hair	ʃəvø	hair:G	ʃ ə v ø		ʃ ə v ø	4
