language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
LATIN	lat	come	1446	come	weˈniːre	come:B	w e ˈn iː r e		w e ˈn iː r e	2
LATIN	lat	snow	784	snow	niks	snow:B	n i k s		n i k s	1
LATIN	lat	sing	1261	sing	ˈkanere	sing:D	ˈk a n e r e		ˈk a n e r e	test
LATIN	lat	tail	1220	tail	ˈkau̯da	tail:F	ˈk a u̯ d a		ˈk a u̯ d a	5
LATIN	lat	die	1494	die	ˈmoriː	die:A	ˈm o r iː		ˈm o r iː	4
LATIN	lat	cold	1287	cold	ˈfriːgidus	cold:E	ˈf r iː g i d u s		ˈf r iː g i d u s	test
LATIN	lat	name	1405	name	ˈnoːmen	name:A	ˈn oː m e n		ˈn oː m e n	3
LATIN	lat	water	948	water	ˈakʷa	water:E	ˈa kʷ a		ˈa kʷ a	3
LATIN	lat	what	1236	what	kʷid	what:A	kʷ i d		kʷ i d	4
LATIN	lat	root	670	root	ˈraːdiks	root:B	ˈr aː d i k s		ˈr aː d i k s	test
LATIN	lat	two	1498	two	ˈduo	two:A	ˈd u o		ˈd u o	2
LATIN	lat	at	1461	at	ad	at:R	a d		a d	1
LATIN	lat	four	1500	four	ˈkʷatːuor	four:N	ˈkʷ a tː u o r		ˈkʷ a tː u o r	3
LATIN	lat	person	683	person	perˈsoːna	person:D	p e r ˈs oː n a		p e r ˈs oː n a	test
LATIN	lat	rain	658	rain	ˈpluwia	rain:E	ˈp l u w i a		ˈp l u w i a	3
LATIN	lat	neck	1333	neck	ˈkolːum	neck:B	ˈk o lː u m		ˈk o lː u m	1
LATIN	lat	throw	1456	throw	ˈjakere	throw:J	ˈj a k e r e		ˈj a k e r e	test
LATIN	lat	sit	1416	sit	seˈdeːre	sit:B	s e ˈd eː r e		s e ˈd eː r e	2
LATIN	lat	bone	1394	bone	os	bone:D	o s		o s	1
LATIN	lat	tree	906	tree	ˈarbor	tree:F	ˈa r b o r		ˈa r b o r	test
LATIN	lat	leaf	628	leaf	ˈfolium	leaf:B	ˈf o l i u m		ˈf o l i u m	5
LATIN	lat	red	156	red	ˈruber	red:B	ˈr u b e r		ˈr u b e r	2
LATIN	lat	animal	619	animal	ˈanimal	animal:F	ˈa n i m a l		ˈa n i m a l	5
LATIN	lat	day	1225	day	ˈdieːs	day:C	ˈd i eː s		ˈd i eː s	2
LATIN	lat	hair	1040	hair	kaˈpilːiː	hair:G	k a ˈp i lː iː		k a ˈp i lː iː	4
LATIN	lat	few	1242	few	ˈpau̯kiː	few:F	ˈp a u̯ k iː		ˈp a u̯ k iː	4
LATIN	lat	back	1291	back	ˈdorsum	back:H	ˈd o r s u m		ˈd o r s u m	test
LATIN	lat	stone	857	stone	ˈpetra	stone:E	ˈp e t r a		ˈp e t r a	3
LATIN	lat	eye	1248	eye	ˈokulus	eye:B	ˈo k u l u s		ˈo k u l u s	test
LATIN	lat	grass	606	grass	ˈherba	grass:F	ˈh e r b a		ˈh e r b a	4
LATIN	lat	worm	1219	worm	ˈwermis	worm:B	ˈw e r m i s		ˈw e r m i s	5
LATIN	lat	black	163	black	ˈniɡer	black:F	ˈn i ɡ e r		ˈn i ɡ e r	test
LATIN	lat	split	1437	split	ˈfindere	split:E	ˈf i n d e r e		ˈf i n d e r e	3
LATIN	lat	give	1447	give	ˈdare	give:B	ˈd a r e		ˈd a r e	3
LATIN	lat	horn	1393	horn	ˈkornuː	horn:A	ˈk o r n uː		ˈk o r n uː	5
LATIN	lat	earth	1228	earth	ˈterːa	earth:F	ˈt e rː a		ˈt e rː a	4
LATIN	lat	snake	730	snake	ˈserpeːns	snake:E	ˈs e r p eː n s		ˈs e r p eː n s	3
LATIN	lat	dog	2009	dog	ˈkanis	dog:A	ˈk a n i s		ˈk a n i s	test
LATIN	lat	thick	1244	thick	ˈspisːus	thick:Q	ˈs p i sː u s		ˈs p i sː u s	test
LATIN	lat	big	1202	big	ˈɡrandis	big:D	ˈɡ r a n d i s		ˈɡ r a n d i s	test
LATIN	lat	wing	1257	wing	ˈaːla	wing:G	ˈaː l a		ˈaː l a	1
LATIN	lat	if	1459	if	siː	if:G	s iː		s iː	1
LATIN	lat	not	1240	not	noːn	not:A	n oː n		n oː n	5
LATIN	lat	fly	1441	fly	woˈlaːre	fly:E	w o ˈl aː r e		w o ˈl aː r e	1
