language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
LATIN	lat	sharp	1396	sharp	ˈaːker	sharp:C	ˈaː k e r		ˈaː k e r	test
LATIN	lat	come	1446	come	weˈniːre	come:B	w e ˈn iː r e		w e ˈn iː r e	1
LATIN	lat	snow	784	snow	niks	snow:B	n i k s		n i k s	1
LATIN	lat	sing	1261	sing	ˈkanere	sing:D	ˈk a n e r e		ˈk a n e r e	2
LATIN	lat	tail	1220	tail	ˈkau̯da	tail:F	ˈk a u̯ d a		ˈk a u̯ d a	3
LATIN	lat	die	1494	die	ˈmoriː	die:A	ˈm o r iː		ˈm o r iː	4
LATIN	lat	cold	1287	cold	ˈfriːgidus	cold:E	ˈf r iː g i d u s		ˈf r iː g i d u s	5
LATIN	lat	name	1405	name	ˈnoːmen	name:A	ˈn oː m e n		ˈn oː m e n	test
LATIN	lat	water	948	water	ˈakʷa	water:E	ˈa kʷ a		ˈa kʷ a	5
LATIN	lat	what	1236	what	kʷid	what:A	kʷ i d		kʷ i d	2
LATIN	lat	root	670	root	ˈraːdiks	root:B	ˈr aː d i k s		ˈr aː d i k s	5
LATIN	lat	two	1498	two	ˈduo	two:A	ˈd u o		ˈd u o	1
LATIN	lat	four	1500	four	ˈkʷatːuor	four:N	ˈkʷ a tː u o r		ˈkʷ a tː u o r	1
LATIN	lat	fear	1419	fear	tiˈmeːre	fear:F	t i ˈm eː r e		t i ˈm eː r e	3
LATIN	lat	sit	1416	sit	seˈdeːre	sit:B	s e ˈd eː r e		s e ˈd eː r e	1
LATIN	lat	bone	1394	bone	os	bone:D	o s		o s	test
LATIN	lat	right	1725	right	ˈrektus	right:C	ˈr e k t u s		ˈr e k t u s	4
LATIN	lat	flow	2003	flow	ˈfluere	flow:E	ˈf l u e r e		ˈf l u e r e	2
LATIN	lat	tree	906	tree	ˈarbor	tree:F	ˈa r b o r		ˈa r b o r	3
LATIN	lat	leaf	628	leaf	ˈfolium	leaf:B	ˈf o l i u m		ˈf o l i u m	test
LATIN	lat	animal	619	animal	ˈanimal	animal:F	ˈa n i m a l		ˈa n i m a l	5
LATIN	lat	day	1225	day	ˈdieːs	day:C	ˈd i eː s		ˈd i eː s	1
LATIN	lat	hair	1040	hair	kaˈpilːiː	hair:G	k a ˈp i lː iː		k a ˈp i lː iː	3
LATIN	lat	few	1242	few	ˈpau̯kiː	few:F	ˈp a u̯ k iː		ˈp a u̯ k iː	5
LATIN	lat	with	1340	with	kum	with:E	k u m		k u m	test
LATIN	lat	stone	857	stone	ˈpetra	stone:E	ˈp e t r a		ˈp e t r a	1
LATIN	lat	eye	1248	eye	ˈokulus	eye:B	ˈo k u l u s		ˈo k u l u s	4
LATIN	lat	grass	606	grass	ˈherba	grass:F	ˈh e r b a		ˈh e r b a	test
LATIN	lat	worm	1219	worm	ˈwermis	worm:B	ˈw e r m i s		ˈw e r m i s	2
LATIN	lat	black	163	black	ˈniɡer	black:F	ˈn i ɡ e r		ˈn i ɡ e r	3
LATIN	lat	give	1447	give	ˈdare	give:B	ˈd a r e		ˈd a r e	5
LATIN	lat	earth	1228	earth	ˈterːa	earth:F	ˈt e rː a		ˈt e rː a	4
LATIN	lat	snake	730	snake	ˈserpeːns	snake:E	ˈs e r p eː n s		ˈs e r p eː n s	3
LATIN	lat	walk	1443	walk	ambuˈlaːre	walk:D	a m b u ˈl aː r e		a m b u ˈl aː r e	test
LATIN	lat	dog	2009	dog	ˈkanis	dog:A	ˈk a n i s		ˈk a n i s	3
LATIN	lat	thick	1244	thick	ˈspisːus	thick:Q	ˈs p i sː u s		ˈs p i sː u s	2
LATIN	lat	in	1460	in	in	in:E	i n		i n	test
LATIN	lat	big	1202	big	ˈɡrandis	big:D	ˈɡ r a n d i s		ˈɡ r a n d i s	test
LATIN	lat	wing	1257	wing	ˈaːla	wing:G	ˈaː l a		ˈaː l a	4
LATIN	lat	if	1459	if	siː	if:G	s iː		s iː	3
LATIN	lat	not	1240	not	noːn	not:A	n oː n		n oː n	5
LATIN	lat	fly	1441	fly	woˈlaːre	fly:E	w o ˈl aː r e		w o ˈl aː r e	1
LATIN	lat	say	1458	say	ˈdiːkere	say:F	ˈd iː k e r e		ˈd iː k e r e	test
LATIN	lat	you	1213	you	woːs	you:A	w oː s		w oː s	2
LATIN	lat	cloud	1489	cloud	ˈnuːbeːs	cloud:F	ˈn uː b eː s		ˈn uː b eː s	1
LATIN	lat	rotten	1728	rotten	ˈputridus	rotten:O	ˈp u t r i d u s		ˈp u t r i d u s	2
LATIN	lat	hand	1277	hand	ˈmanus	hand:E	ˈm a n u s		ˈm a n u s	1
LATIN	lat	ice	617	ice	glaˈkieːs	ice:G	g l a ˈk i eː s		g l a ˈk i eː s	2
LATIN	lat	tongue	1205	tongue	ˈliŋɡwa	tongue:W	ˈl i ŋ ɡ w a		ˈl i ŋ ɡ w a	test
