language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
SPANISH	spa	sharp	1396	sharp	aɣuðo	sharp:C	a ɣ u ð o		a ɣ u ð o	test
SPANISH	spa	come	1446	come	beniɾ	come:B	b e n i ɾ		b e n i ɾ	2
SPANISH	spa	snow	784	snow	njeβe	snow:B	n j e β e		n j e β e	test
SPANISH	spa	sing	1261	sing	kantaɾ	sing:D	k a n t a ɾ		k a n t a ɾ	2
SPANISH	spa	tail	1220	tail	kola	tail:F	k o l a		k o l a	3
SPANISH	spa	die	1494	die	moɾiɾ	die:A	m o ɾ i ɾ		m o ɾ i ɾ	1
SPANISH	spa	cold	1287	cold	fɾio	cold:E	f ɾ i o		f ɾ i o	2
SPANISH	spa	name	1405	name	nombɾe	name:A	n o m b ɾ e		n o m b ɾ e	5
SPANISH	spa	water	948	water	aɣwa	water:E	a ɣ w a		a ɣ w a	5
SPANISH	spa	what	1236	what	ke	what:A	k e		k e	4
SPANISH	spa	root	670	root	raiθ	root:B	r a i θ		r a i θ	5
SPANISH	spa	two	1498	two	dos	two:A	d o s		d o s	1
SPANISH	spa	at	1461	at	a	at:R	a		a	2
SPANISH	spa	four	1500	four	kwatɾo	four:N	k w a t ɾ o		k w a t ɾ o	3
SPANISH	spa	person	683	person	ombɾe	person:E	o m b ɾ e		o m b ɾ e	test
SPANISH	spa	rain	658	rain	ʎuβja	rain:E	ʎ u β j a		ʎ u β j a	4
SPANISH	spa	fear	1419	fear	temeɾ	fear:F	t e m e ɾ		t e m e ɾ	5
SPANISH	spa	neck	1333	neck	kweʎo	neck:B	k w e ʎ o		k w e ʎ o	3
SPANISH	spa	sit	1416	sit	sentaɾse	sit:B	s e n t a ɾ s e		s e n t a ɾ s e	1
SPANISH	spa	bone	1394	bone	weso	bone:D	w e s o		w e s o	test
SPANISH	spa	flow	2003	flow	fluiɾ	flow:E	f l u i ɾ		f l u i ɾ	test
SPANISH	spa	tree	906	tree	aɾβol	tree:F	a ɾ β o l		a ɾ β o l	5
SPANISH	spa	leaf	628	leaf	oxa	leaf:B	o x a		o x a	2
SPANISH	spa	red	156	red	roxo	red:B	r o x o		r o x o	2
SPANISH	spa	animal	619	animal	animal	animal:F	a n i m a l		a n i m a l	1
SPANISH	spa	day	1225	day	dia	day:C	d i a		d i a	test
SPANISH	spa	hair	1040	hair	kaβeʎo	hair:G	k a β e ʎ o		k a β e ʎ o	2
SPANISH	spa	few	1242	few	poko	few:F	p o k o		p o k o	test
SPANISH	spa	with	1340	with	kon	with:E	k o n		k o n	4
SPANISH	spa	stone	857	stone	pjeðɾa	stone:E	p j e ð ɾ a		p j e ð ɾ a	4
SPANISH	spa	eye	1248	eye	oxo	eye:B	o x o		o x o	5
SPANISH	spa	grass	606	grass	jeɾβa	grass:F	j e ɾ β a		j e ɾ β a	4
SPANISH	spa	black	163	black	neɣɾo	black:F	n e ɣ ɾ o		n e ɣ ɾ o	3
SPANISH	spa	give	1447	give	daɾ	give:B	d a ɾ		d a ɾ	5
SPANISH	spa	horn	1393	horn	kweɾno	horn:A	k w e ɾ n o		k w e ɾ n o	3
SPANISH	spa	earth	1228	earth	tjera	earth:F	t j e r a		t j e r a	1
SPANISH	spa	snake	730	snake	seɾpjente	snake:E	s e ɾ p j e n t e		s e ɾ p j e n t e	3
SPANISH	spa	in	1460	in	en	in:E	e n		e n	2
SPANISH	spa	big	1202	big	ɡɾande	big:D	ɡ ɾ a n d e		ɡ ɾ a n d e	test
SPANISH	spa	wing	1257	wing	ala	wing:G	a l a		a l a	5
SPANISH	spa	if	1459	if	si	if:G	s i		s i	test
SPANISH	spa	not	1240	not	no	not:A	n o		n o	test
SPANISH	spa	fly	1441	fly	bolaɾ	fly:E	b o l a ɾ		b o l a ɾ	3
SPANISH	spa	say	1458	say	deθiɾ	say:F	d e θ i ɾ		d e θ i ɾ	4
SPANISH	spa	you	1213	you	bosotɾos	you:A	b o s o t ɾ o s		b o s o t ɾ o s	3
SPANISH	spa	warm	1232	warm	kaliðo	warm:E	k a l i ð o		k a l i ð o	test
SPANISH	spa	cloud	1489	cloud	nuβe	cloud:F	n u β e		n u β e	test
SPANISH	spa	rotten	1728	rotten	poðɾiðo	rotten:O	p o ð ɾ i ð o		p o ð ɾ i ð o	test
SPANISH	spa	hand	1277	hand	mano	hand:E	m a n o		m a n o	1
SPANISH	spa	ice	617	ice	jelo	ice:G	j e l o		j e l o	1
SPANISH	spa	tongue	1205	tongue	leŋɡwa	tongue:W	l e ŋ ɡ w a		l e ŋ ɡ w a	1
SPANISH	spa	head	1256	head	kaβeθa	head:B	k a β e θ a		k a β e θ a	4
SPANISH	spa	seed	714	seed	semiʎa	seed:B	s e m i ʎ a		s e m i ʎ a	1
SPANISH	spa	float	1574	float	flotaɾ	float:D	f l o t a ɾ		f l o t a ɾ	2
SPANISH	spa	fish	227	fish	peθ	fish:B	p e θ		p e θ	4
SPANISH	spa	live	1422	live	biβiɾ	live:A	b i β i ɾ		b i β i ɾ	3
SPANISH	spa	egg	744	egg	weβo	egg:A	w e β o		w e β o	4
SPANISH	spa	green	1425	green	beɾðe	green:G	b e ɾ ð e		b e ɾ ð e	4
SPANISH	spa	thou	1215	thou	tu	thou:A	t u		t u	2
SPANISH	spa	many	1198	many	muʧos	many:G	m u ʧ o s		m u ʧ o s	1
SPANISH	spa	tooth	1380	tooth	djente	tooth:B	d j e n t e		d j e n t e	5
SPANISH	spa	dust	2	dust	polβo	dust:F	p o l β o		p o l β o	3
SPANISH	spa	sun	1343	sun	sol	sun:W	s o l		s o l	test
SPANISH	spa	husband	1200	husband	maɾiðo	husband:E	m a ɾ i ð o		m a ɾ i ð o	2
SPANISH	spa	feather	1201	feather	pluma	feather:E	p l u m a		p l u m a	test
SPANISH	spa	who	1235	who	kjen	who:B	k j e n		k j e n	1
SPANISH	spa	straight	1404	straight	rekto	straight:M	r e k t o		r e k t o	4
SPANISH	spa	three	492	three	tɾes	three:A	t ɾ e s		t ɾ e s	test
SPANISH	spa	fat	1282	fat	ɡɾasa	fat:I	ɡ ɾ a s a		ɡ ɾ a s a	5
SPANISH	spa	freeze	1431	freeze	elaɾ	freeze:G	e l a ɾ		e l a ɾ	test
SPANISH	spa	smoke	778	smoke	umo	smoke:A	u m o		u m o	5
SPANISH	spa	when	1238	when	kwando	when:A	k w a n d o		k w a n d o	4
SPANISH	spa	drink	1401	drink	beβeɾ	drink:C	b e β e ɾ		b e β e ɾ	5
SPANISH	spa	five	493	five	θiŋko	five:O	θ i ŋ k o		θ i ŋ k o	3
SPANISH	spa	how	1239	how	komo	how:B	k o m o		k o m o	3
SPANISH	spa	old	1229	old	bjexo	old:G	b j e x o		b j e x o	2
SPANISH	spa	night	1233	night	noʧe	night:B	n o ʧ e		n o ʧ e	test
SPANISH	spa	star	1430	star	estɾeʎa	star:V	e s t ɾ e ʎ a		e s t ɾ e ʎ a	test
SPANISH	spa	fog	249	fog	njeβla	fog:I	n j e β l a		n j e β l a	2
SPANISH	spa	round	1395	round	reðondo	round:A	r e ð o n d o		r e ð o n d o	2
SPANISH	spa	road	667	road	kamino	road:H	k a m i n o		k a m i n o	test
SPANISH	spa	salt	1274	salt	sal	salt:B	s a l		s a l	test
SPANISH	spa	sea	1474	sea	maɾ	sea:B	m a ɾ		m a ɾ	2
SPANISH	spa	they	817	they	eʎos	they:F	e ʎ o s		e ʎ o s	3
SPANISH	spa	swim	1439	swim	naðaɾ	swim:D	n a ð a ɾ		n a ð a ɾ	5
SPANISH	spa	ear	1247	ear	oɾexa	ear:B	o ɾ e x a		o ɾ e x a	2
SPANISH	spa	see	1409	see	beɾ	see:E	b e ɾ		b e ɾ	1
SPANISH	spa	hold	1448	hold	teneɾ	hold:F	t e n e ɾ		t e n e ɾ	3
SPANISH	spa	nose	1221	nose	naɾiθ	nose:B	n a ɾ i θ		n a ɾ i θ	3
SPANISH	spa	I	1209	I	ʝo	I:A	ʝ o		ʝ o	1
SPANISH	spa	vomit	1278	vomit	bomitaɾ	vomit:E	b o m i t a ɾ		b o m i t a ɾ	3
SPANISH	spa	mountain	639	mountain	montaɲa	mountain:F	m o n t a ɲ a		m o n t a ɲ a	1
SPANISH	spa	breathe	1407	breathe	respiɾaɾ	breathe:L	r e s p i ɾ a ɾ		r e s p i ɾ a ɾ	5
SPANISH	spa	other	197	other	otɾo	other:D	o t ɾ o		o t ɾ o	5
SPANISH	spa	where	1237	where	donde	where:B	d o n d e		d o n d e	4
SPANISH	spa	mother	1216	mother	maðɾe	mother:A	m a ð ɾ e		m a ð ɾ e	1
SPANISH	spa	blood	946	blood	saŋɡɾe	blood:G	s a ŋ ɡ ɾ e		s a ŋ ɡ ɾ e	3
SPANISH	spa	moon	1313	moon	luna	moon:C	l u n a		l u n a	test
SPANISH	spa	we	1212	we	nosotɾos	we:A	n o s o t ɾ o s		n o s o t ɾ o s	5
SPANISH	spa	and	1577	and	i	and:F	i		i	test
SPANISH	spa	skin	763	skin	pjel	skin:B	p j e l		p j e l	3
SPANISH	spa	dry	1398	dry	seko	dry:G	s e k o		s e k o	4
SPANISH	spa	bite	1403	bite	moɾðeɾ	bite:G	m o ɾ ð e ɾ		m o ɾ ð e ɾ	5
SPANISH	spa	woman	962	woman	muxeɾ	woman:E	m u x e ɾ		m u x e ɾ	5
SPANISH	spa	spit	1440	spit	eskupiɾ	spit:Ac	e s k u p i ɾ		e s k u p i ɾ	4
SPANISH	spa	hear	1408	hear	oiɾ	hear:G	o i ɾ		o i ɾ	3
SPANISH	spa	one	1493	one	uno	one:A	u n o		u n o	3
SPANISH	spa	sleep	1585	sleep	doɾmiɾ	sleep:E	d o ɾ m i ɾ		d o ɾ m i ɾ	test
SPANISH	spa	bad	1292	bad	malo	bad:D	m a l o		m a l o	5
SPANISH	spa	good	1035	good	bweno	good:F	b w e n o		b w e n o	2
SPANISH	spa	flower	239	flower	floɾ	flower:B	f l o ɾ		f l o ɾ	1
SPANISH	spa	rub	1449	rub	fɾotaɾ	rub:F	f ɾ o t a ɾ		f ɾ o t a ɾ	test
SPANISH	spa	bark	1204	bark	koɾteθa	bark:B	k o ɾ t e θ a		k o ɾ t e θ a	5
SPANISH	spa	year	1226	year	aɲo	year:F	a ɲ o		a ɲ o	3
SPANISH	spa	new	1231	new	nweβo	new:A	n w e β o		n w e β o	4
SPANISH	spa	all	98	all	toðo	all:C	t o ð o		t o ð o	1
SPANISH	spa	laugh	1355	laugh	reiɾ	laugh:F	r e i ɾ		r e i ɾ	test
SPANISH	spa	blow	175	blow	soplaɾ	blow:A	s o p l a ɾ		s o p l a ɾ	4
SPANISH	spa	wind	960	wind	bjento	wind:B	b j e n t o		b j e n t o	1
SPANISH	spa	full	1429	full	ʎeno	full:A	ʎ e n o		ʎ e n o	4
SPANISH	spa	burn	2102	burn	kemaɾ	burn:L	k e m a ɾ		k e m a ɾ	5
SPANISH	spa	lake	624	lake	laɣo	lake:E	l a ɣ o		l a ɣ o	1
SPANISH	spa	smell	1586	smell	oleɾ	smell:W	o l e ɾ		o l e ɾ	1
SPANISH	spa	meat	634	meat	kaɾne	meat:D	k a ɾ n e		k a ɾ n e	4
SPANISH	spa	fingernail	1258	fingernail	uɲa	fingernail:A	u ɲ a		u ɲ a	2
SPANISH	spa	ashes	646	ashes	θeniθas	ashes:E	θ e n i θ a s		θ e n i θ a s	2
SPANISH	spa	fall	1280	fall	kaeɾ	fall:G	k a e ɾ		k a e ɾ	4
SPANISH	spa	heart	1223	heart	koɾaθon	heart:J	k o ɾ a θ o n		k o ɾ a θ o n	4
