language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
DANISH	dan	sharp	1396	sharp	sg̥ʰɑ:b̥	sharp:B	s g̥ʰ ɑ: b̥		s g̥ʰ ɑ: b̥	2
DANISH	dan	come	1446	come	ˈg̥ʰʌmə	come:B	ˈg̥ʰ ʌ m ə		ˈg̥ʰ ʌ m ə	5
DANISH	dan	yellow	1424	yellow	guˀl	yellow:A	g uˀ l		g uˀ l	4
DANISH	dan	snow	784	snow	sneˀ	snow:B	s n eˀ		s n eˀ	3
DANISH	dan	sing	1261	sing	ˈsøŋə	sing:B	ˈs ø ŋ ə		ˈs ø ŋ ə	2
DANISH	dan	tail	1220	tail	ˈsd̥jæɐ̠ˀd	tail:B	ˈs d̥ j æ ɐ̠ˀ d		ˈs d̥ j æ ɐ̠ˀ d	5
DANISH	dan	die	1494	die	d̥øˀ	die:B	d̥ øˀ		d̥ øˀ	5
DANISH	dan	cold	1287	cold	g̥ʰʌlˀ	cold:B	g̥ʰ ʌ lˀ		g̥ʰ ʌ lˀ	5
DANISH	dan	name	1405	name	nɑwˀn	name:A	n ɑ wˀ n		n ɑ wˀ n	4
DANISH	dan	stick	1295	stick	ɡ̊ʰɛb	stick:Ab	ɡ̊ʰ ɛ b		ɡ̊ʰ ɛ b	3
DANISH	dan	water	948	water	vanˀ	water:B	v a nˀ		v a nˀ	5
DANISH	dan	what	1236	what	va	what:A	v a		v a	2
DANISH	dan	fight	1423	fight	slʌs	fight:Q	s l ʌ s		s l ʌ s	1
DANISH	dan	kill	1417	kill	ˈd̥øːðə	kill:T	ˈd̥ øː ð ə		ˈd̥ øː ð ə	3
DANISH	dan	root	670	root	ʁoˀð	root:B	ʁ oˀ ð		ʁ oˀ ð	3
DANISH	dan	two	1498	two	d̥ʰoˀ	two:A	d̥ʰ oˀ		d̥ʰ oˀ	test
DANISH	dan	at	1461	at	veð	at:U	v e ð		v e ð	test
DANISH	dan	narrow	1267	narrow	ˈd̥ʰʁɑŋˀ	narrow:O	ˈd̥ʰ ʁ ɑ ŋˀ		ˈd̥ʰ ʁ ɑ ŋˀ	4
DANISH	dan	turn	1588	turn	ˈvɛnə_sɑj	turn:U	ˈv ɛ n ə _ s ɑ j		ˈv ɛ n ə _ s ɑ j	1
