language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
OLD_NORSE	non	sharp	1396	sharp	skarpr	sharp:B	s k a r p r		s k a r p r	2
OLD_NORSE	non	come	1446	come	ˈkoma	come:B	ˈk o m a		ˈk o m a	5
OLD_NORSE	non	yellow	1424	yellow	ɡulr	yellow:A	ɡ u l r		ɡ u l r	4
OLD_NORSE	non	snow	784	snow	snjoːr	snow:B	s n j oː r		s n j oː r	3
OLD_NORSE	non	sing	1261	sing	ˈsynɣva	sing:B	ˈs y n ɣ v a		ˈs y n ɣ v a	2
OLD_NORSE	non	tail	1220	tail	stertr	tail:B	s t e r t r		s t e r t r	5
OLD_NORSE	non	die	1494	die	ˈdɛyja	die:B	ˈd ɛ y j a		ˈd ɛ y j a	5
OLD_NORSE	non	cold	1287	cold	kaldr	cold:B	k a l d r		k a l d r	5
OLD_NORSE	non	name	1405	name	nafn	name:A	n a f n		n a f n	4
OLD_NORSE	non	stick	1295	stick	kepːr	stick:Ab	k e pː r		k e pː r	3
OLD_NORSE	non	water	948	water	vatn	water:B	v a t n		v a t n	5
OLD_NORSE	non	what	1236	what	ɣvat	what:A	ɣ v a t		ɣ v a t	2
OLD_NORSE	non	fight	1423	fight	slaːsk	fight:Q	s l aː s k		s l aː s k	1
OLD_NORSE	non	kill	1417	kill	ˈdɛyða	kill:T	ˈd ɛ y ð a		ˈd ɛ y ð a	3
OLD_NORSE	non	root	670	root	roːt	root:B	r oː t		r oː t	3
OLD_NORSE	non	two	1498	two	tvɛir	two:A	t v ɛ i r		t v ɛ i r	test
OLD_NORSE	non	at	1461	at	við	at:U	v i ð		v i ð	test
OLD_NORSE	non	narrow	1267	narrow	θrɔnɣr	narrow:O	θ r ɔ n ɣ r		θ r ɔ n ɣ r	4
OLD_NORSE	non	turn	1588	turn	ˈvenda	turn:U	ˈv e n d a		ˈv e n d a	1
OLD_NORSE	non	four	1500	four	ˈfjoːrir	four:N	ˈf j oː r i r		ˈf j oː r i r	test
OLD_NORSE	non	rain	658	rain	reɣn	rain:B	r e ɣ n		r e ɣ n	test
