language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
DANISH_FJOLDE	q_danish_fjolde	sharp	1396	sharp	ˈsxɑɹəb	sharp:B	ˈs x ɑ ɹ ə b		ˈs x ɑ ɹ ə b	2
DANISH_FJOLDE	q_danish_fjolde	come	1446	come	kom	come:B	k o m		k o m	test
DANISH_FJOLDE	q_danish_fjolde	yellow	1424	yellow	ɡuːl	yellow:A	ɡ uː l		ɡ uː l	1
DANISH_FJOLDE	q_danish_fjolde	snow	784	snow	snie	snow:B	s n i e		s n i e	3
DANISH_FJOLDE	q_danish_fjolde	tail	1220	tail	sxæɹd	tail:B	s x æ ɹ d		s x æ ɹ d	3
DANISH_FJOLDE	q_danish_fjolde	die	1494	die	dyø	die:B	d y ø		d y ø	3
DANISH_FJOLDE	q_danish_fjolde	cold	1287	cold	koːlʲ	cold:B	k oː lʲ		k oː lʲ	test
DANISH_FJOLDE	q_danish_fjolde	name	1405	name	nɑːwn	name:A	n ɑː w n		n ɑː w n	test
DANISH_FJOLDE	q_danish_fjolde	water	948	water	vanʲ	water:B	v a nʲ		v a nʲ	test
DANISH_FJOLDE	q_danish_fjolde	what	1236	what	vɑɹ	what:A	v ɑ ɹ		v ɑ ɹ	4
DANISH_FJOLDE	q_danish_fjolde	fight	1423	fight	ˈsloasəs	fight:Q	ˈs l o a s ə s		ˈs l o a s ə s	5
DANISH_FJOLDE	q_danish_fjolde	root	670	root	ɹuoj	root:B	ɹ u o j		ɹ u o j	5
DANISH_FJOLDE	q_danish_fjolde	two	1498	two	tuo	two:A	t u o		t u o	5
DANISH_FJOLDE	q_danish_fjolde	at	1461	at	ve	at:U	v e		v e	1
DANISH_FJOLDE	q_danish_fjolde	turn	1588	turn	veːnʲ	turn:U	v eː nʲ		v eː nʲ	1
DANISH_FJOLDE	q_danish_fjolde	four	1500	four	ˈfejəɹ	four:N	ˈf e j ə ɹ		ˈf e j ə ɹ	1
DANISH_FJOLDE	q_danish_fjolde	rain	658	rain	ɹæjn	rain:B	ɹ æ j n		ɹ æ j n	2
DANISH_FJOLDE	q_danish_fjolde	neck	1333	neck	hɑls	neck:B	h ɑ l s		h ɑ l s	5
DANISH_FJOLDE	q_danish_fjolde	sit	1416	sit	seð	sit:B	s e ð		s e ð	3
DANISH_FJOLDE	q_danish_fjolde	right	1725	right	ɹeæd	right:C	ɹ e æ d		ɹ e æ d	1
