language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
SWEDISH	swe	sharp	1396	sharp	skarp	sharp:B	s k a r p		s k a r p	4
SWEDISH	swe	come	1446	come	ˈkɔ̀mːa	come:B	ˈk ɔ̀ mː a		ˈk ɔ̀ mː a	test
SWEDISH	swe	yellow	1424	yellow	ɡʉːl	yellow:A	ɡ ʉː l		ɡ ʉː l	1
SWEDISH	swe	snow	784	snow	snøː	snow:B	s n øː		s n øː	5
SWEDISH	swe	sing	1261	sing	ˈɧɵ̀ŋːa	sing:B	ˈɧ ɵ̀ ŋː a		ˈɧ ɵ̀ ŋː a	2
SWEDISH	swe	tail	1220	tail	ɧæʈː	tail:B	ɧ æ ʈː		ɧ æ ʈː	test
SWEDISH	swe	die	1494	die	dø:	die:B	d ø:		d ø:	3
SWEDISH	swe	cold	1287	cold	kalː	cold:B	k a lː		k a lː	4
SWEDISH	swe	name	1405	name	namn	name:A	n a m n		n a m n	test
SWEDISH	swe	stick	1295	stick	stɑːv	stick:D	s t ɑː v		s t ɑː v	1
SWEDISH	swe	water	948	water	ˈvatːən	water:B	ˈv a tː ə n		ˈv a tː ə n	3
SWEDISH	swe	what	1236	what	vɑːd	what:A	v ɑː d		v ɑː d	1
SWEDISH	swe	fight	1423	fight	slɔsː	fight:Q	s l ɔ sː		s l ɔ sː	5
SWEDISH	swe	kill	1417	kill	ˈdø̀ːda	kill:T	ˈd ø̀ː d a		ˈd ø̀ː d a	5
SWEDISH	swe	root	670	root	ru:t	root:B	r u: t		r u: t	1
SWEDISH	swe	two	1498	two	tvo:	two:A	t v o:		t v o:	test
SWEDISH	swe	at	1461	at	viːd	at:U	v iː d		v iː d	test
SWEDISH	swe	narrow	1267	narrow	trɔŋ	narrow:O	t r ɔ ŋ		t r ɔ ŋ	test
SWEDISH	swe	turn	1588	turn	ˈvɛ̀nda	turn:U	ˈv ɛ̀ n d a		ˈv ɛ̀ n d a	test
SWEDISH	swe	four	1500	four	ˈfỳːra	four:N	ˈf ỳː r a		ˈf ỳː r a	5
SWEDISH	swe	rain	658	rain	rɛŋn	rain:B	r ɛ ŋ n		r ɛ ŋ n	3
SWEDISH	swe	fear	1419	fear	ˈrɛ̀ːdas	fear:J	ˈr ɛ̀ː d a s		ˈr ɛ̀ː d a s	5
SWEDISH	swe	neck	1333	neck	hals	neck:B	h a l s		h a l s	2
SWEDISH	swe	throw	1456	throw	ˈkàsta	throw:I	ˈk à s t a		ˈk à s t a	5
SWEDISH	swe	sit	1416	sit	ˈsìtːa	sit:B	ˈs ì tː a		ˈs ì tː a	test
SWEDISH	swe	bone	1394	bone	beːn	bone:B	b eː n		b eː n	5
SWEDISH	swe	right	1725	right	rɛtː	right:C	r ɛ tː		r ɛ tː	3
SWEDISH	swe	flow	2003	flow	ˈrɪ̀nːa	flow:H	ˈr ɪ̀ nː a		ˈr ɪ̀ nː a	5
SWEDISH	swe	tree	906	tree	trɛ:d	tree:C	t r ɛ: d		t r ɛ: d	2
SWEDISH	swe	leaf	628	leaf	lø:v	leaf:I	l ø: v		l ø: v	2
SWEDISH	swe	red	156	red	røːd	red:B	r øː d		r øː d	test
SWEDISH	swe	animal	619	animal	jʉːr	animal:A	j ʉː r		j ʉː r	3
SWEDISH	swe	swell	1573	swell	ˈsvɛ̀lːa	swell:B	ˈs v ɛ̀ lː a		ˈs v ɛ̀ lː a	2
SWEDISH	swe	day	1225	day	dɑːg	day:B	d ɑː g		d ɑː g	test
SWEDISH	swe	hair	1040	hair	ho:r	hair:B	h o: r		h o: r	2
SWEDISH	swe	few	1242	few	foː	few:F	f oː		f oː	5
SWEDISH	swe	pull	1455	pull	drɑ:	pull:J	d r ɑ:		d r ɑ:	4
SWEDISH	swe	back	1291	back	rʏgː	back:R	r ʏ gː		r ʏ gː	4
SWEDISH	swe	sand	671	sand	sand	sand:B	s a n d		s a n d	1
SWEDISH	swe	with	1340	with	meːd	with:C	m eː d		m eː d	2
SWEDISH	swe	stone	857	stone	ste:n	stone:A	s t e: n		s t e: n	3
SWEDISH	swe	eye	1248	eye	ˈø̀ːɡa	eye:B	ˈø̀ː ɡ a		ˈø̀ː ɡ a	2
SWEDISH	swe	grass	606	grass	grɛ:s	grass:B	g r ɛ: s		g r ɛ: s	2
SWEDISH	swe	river	666	river	ɛlv	river:N	ɛ l v		ɛ l v	1
SWEDISH	swe	worm	1219	worm	mask	worm:F	m a s k		m a s k	1
SWEDISH	swe	black	163	black	svaʈː	black:B	s v a ʈː		s v a ʈː	1
SWEDISH	swe	split	1437	split	ˈklỳːva	split:I	ˈk l ỳː v a		ˈk l ỳː v a	5
SWEDISH	swe	give	1447	give	je:	give:A	j e:		j e:	2
SWEDISH	swe	stab	1434	stab	ˈstɪ̀ŋːa	stab:B	ˈs t ɪ̀ ŋː a		ˈs t ɪ̀ ŋː a	test
SWEDISH	swe	horn	1393	horn	hu:ɳ	horn:A	h u: ɳ		h u: ɳ	5
SWEDISH	swe	earth	1228	earth	mɵlː	earth:H	m ɵ lː		m ɵ lː	1
SWEDISH	swe	snake	730	snake	ʊrm	snake:K	ʊ r m		ʊ r m	4
SWEDISH	swe	walk	1443	walk	go:	walk:G	g o:		g o:	5
SWEDISH	swe	dog	2009	dog	hɵnd	dog:A	h ɵ n d		h ɵ n d	3
SWEDISH	swe	stand	1442	stand	sto:	stand:B	s t o:		s t o:	test
SWEDISH	swe	scratch	1436	scratch	ˈklø̀:sa	scratch:I	ˈk l ø̀: s a		ˈk l ø̀: s a	1
