
Proto-Germanic	Language	Token
frijaz	ang	frēo
frijaz	enm	freo
frijaz	enm	fre
frijaz	sco	fre
frijaz	en	free
frijaz	hif	firii
frijaz	ofs	frī
frijaz	stq	fräi
frijaz	fy	frij
frijaz	osx	frī
frijaz	gml	vri
frijaz	gml	vrig
frijaz	nds	fri
frijaz	nds	free
frijaz	nds	frigg
frijaz	fo	fríur
frijaz	no	fri
frijaz	sv	fri
frijaz	da	fri
frijaz	odt	frī
frijaz	goh	frī
frijaz	gmh	vrī
frijaz	de	frei
frijaz	lb	fräi
frijaz	wym	fraj
frijaz	got	𐍆𐍂𐌴𐌹𐍃
hrōþiz	ang	hrēþ
hrōþiz	osx	hroþi
hrōþiz	non	hróðr
hrōþiz	got	*𐌷𐍂𐍉𐌸𐍃
gudą	gmw-pro	*god
gudą	non	guð
haglaz	ang	hagol
haglaz	ang	hæġl
haglaz	enm	hayle
haglaz	enm	haile
haglaz	enm	hail
haglaz	sco	hail
haglaz	en	hail
haglaz	ofs	heil
haglaz	stq	Hail
haglaz	fy	heil
haglaz	osx	hagal
haglaz	gml	hagel
haglaz	nds	Hagel
haglaz	pdt	Hoagel
haglaz	odt	*hagal
haglaz	goh	hagal
haglaz	gmh	hagel
haglaz	de	Hagel
haglaz	lb	Hol
haglaz	yi	האָגל
haglaz	non	hagl
haglaz	is	hagl
haglaz	fo	hagl
haglaz	fo	høgl
haglaz	fo	heglingur
haglaz	no	hagl
haglaz	gmq-osw	haghl
haglaz	sv	hagel
haglaz	gmq-oda	haghæl
haglaz	da	hagl
haglaz	da	hagel
haglaz	da	havl
haglaz	gmq-gut	hagel
dagaz	gmw-pro	*dag
dagaz	non	dagr
dagaz	gme-cgo	tag
dagaz	got	𐌳𐌰𐌲𐍃
wulfaz	gmw-pro	*wulf
wulfaz	non	úlfr
wulfaz	got	𐍅𐌿𐌻𐍆𐍃
gastiz	gmw-pro	*gasti
gastiz	gmq-pro	*ᚷᚨᛊᛏᛁᛉ
gastiz	got	𐌲𐌰𐍃𐍄𐍃
gumô	gmw-pro	*gumō
gumô	non	gumi
gumô	is	gumi
gumô	no	gume
gumô	got	𐌲𐌿𐌼𐌰
beraną	gmw-pro	*beran
beraną	non	bera
beraną	got	𐌱𐌰𐌹𐍂𐌰𐌽
slēpaną	gmw-pro	*slāpan
slēpaną	got	𐍃𐌻𐌴𐍀𐌰𐌽
slēpaną	gme-cgo	schlipen
satjaną	gmw-pro	*sattjan
satjaną	non	setja
satjaną	got	𐍃𐌰𐍄𐌾𐌰𐌽
sunuz	gmw-pro	*sunu
sunuz	non	sonr
sunuz	got	𐍃𐌿𐌽𐌿𐍃
habjaną	gmw-pro	*habbjan
habjaną	non	hafa
habjaną	got	𐌷𐌰𐌱𐌰𐌽
habjaną	gmw-pro	*habbjan
habjaną	non	hefja
habjaną	got	𐌷𐌰𐍆𐌾𐌰𐌽
sagjaną	gmw-pro	*saggjan
sagjaną	non	segja
sagjaną	is	segja
sagjaną	fo	siga
sagjaną	nb	si
sagjaną	nn	seie
sagjaną	gmq-osw	sæghia
sagjaną	gmq-oda	sighia
sagjaną	sv	säga
sagjaną	gmq-oda	sæghiæ
sagjaną	gmq-oda	sighæ
sagjaną	da	sige
sagjaną	gmq-bot	saaij
sagjaną	ovd	saja
sagjaną	gmq-jmk	segi
sagjaną	gmq-gut	säge
sagjaną	gmq-scy	siğa
sagjaną	gmq-scy	sæğa
witaną	gmw-pro	*witan
witaną	non	vita
witaną	got	𐍅𐌹𐍄𐌰𐌽
kunnaną	gmw-pro	*kunnan
kunnaną	non	kunna
kunnaną	is	kunna
kunnaną	fo	kunna
kunnaną	nb	kunne
kunnaną	nn	kunne
kunnaną	nn	kunna
kunnaną	gmq-osw	kunna
kunnaną	gmq-oda	kunnæ
kunnaną	da	kunne
kunnaną	ovd	kunna
kunnaną	gmq-gut	kunne
kunnaną	got	𐌺𐌿𐌽𐌽𐌰𐌽
maganą	gmw-pro	*magan
maganą	non	mega
maganą	got	𐌼𐌰𐌲𐌰𐌽
helpaną	gmw-pro	*helpan
helpaną	non	hjalpa
helpaną	got	𐌷𐌹𐌻𐍀𐌰𐌽
helpaną	et	kõlbama
helpaną	fi	kelvata
helpaną	vot	kõlvata
wiljaną	gmw-pro	*willjan
wiljaną	non	vilja
wiljaną	got	𐍅𐌹𐌻𐌾𐌰𐌽
hlaþaną	gmw-pro	*hlaþan
hlaþaną	non	hlaða
hlaþaną	is	hlaða
hlaþaną	fo	laða
hlaþaną	no	lada
hlaþaną	no	lade
hlaþaną	gmq-osw	laþa
hlaþaną	sv	ladda
hlaþaną	da	lade
hlaþaną	ovd	leða
hlaþaną	gmq-bot	lada
hlaþaną	gmq-bot	lädi
hlaþaną	got	*𐌷𐌻𐌰𐌸𐌰𐌽
līþaną	ang	līþan
līþaną	enm	lithen
līþaną	sco	lithe
līþaną	sco	lythe
līþaną	en	lithe
līþaną	ofs	lītha
līþaną	stq	liede
līþaną	fy	lyen
līþaną	fy	lye
līþaną	fy	lit
līþaną	fy	lije
līþaną	osx	līthan
līþaną	gml	lîden
līþaną	nds-de	lieden
līþaną	odt	līthan
līþaną	goh	līdan
līþaną	gmh	līden
līþaną	gsw	liide
līþaną	de	leiden
līþaną	hrx	leide
līþaną	lb	leiden
līþaną	non	líða
līþaną	is	líða
līþaną	fo	líða
līþaną	no	lide
līþaną	gmq-osw	līþa
līþaną	sv	lida
līþaną	da	lide
līþaną	sco	lide
līþaną	got	*𐌻𐌴𐌹𐌸𐌰𐌽
laidijaną	ang	lǣdan
laidijaną	enm	leden
laidijaną	sco	lede
laidijaną	sco	leid
laidijaną	en	lead
laidijaną	ofs	lēda
laidijaną	fy	liede
laidijaną	osx	lēdian
laidijaną	gml	lēden
laidijaną	gml	leiden
laidijaną	odt	leiden
laidijaną	goh	leiten
laidijaną	gmh	leiten
laidijaną	de	leiten
laidijaną	lb	leeden
laidijaną	non	leiða
laidijaną	fo	leiða
laidijaną	is	leiða
laidijaną	gmq-osw	leþa
laidijaną	sv	leda
laidijaną	da	lede
laidijaną	nb	lede
laidijaną	nn	leia
laidijaną	smi-pro	*lājδëjëtēk
keusaną	gmw-pro	*keusan
keusaną	non	kjósa
keusaną	is	kjósa
keusaną	fo	kjósa
keusaną	nn	kjose
keusaną	gmq-osw	kiūsa
keusaną	sv	tjusa
keusaną	da	kyse
keusaną	got	𐌺𐌹𐌿𐍃𐌰𐌽
keusaną	sla-pro	*kousiti
keusaną	cu	въкоусити
keusaną	ru	вкуси́ть
wesaną	gmw-pro	*wesan
wesaną	non	vera
wesaną	non	vesa
wesaną	is	vera
wesaną	fo	vera
wesaną	gmq-bot	vera
wesaną	gmq-osw	væra
wesaną	gmq-osw	vara
wesaną	sv	vara
wesaną	da	være
wesaną	nb	være
wesaną	nn	vera
wesaną	nn	vere
wesaną	en	wassail
wesaną	got	𐍅𐌹𐍃𐌰𐌽
wesaną	ang	wesan
wesaną	goh	*wesan
wesaną	got	firwesan
wesaną	got	𐍅𐌹𐍃𐌰𐌽
wesaną	got	𐍅𐌰𐌹𐌻𐌰 𐍅𐌹𐍃𐌰𐌽
wesaną	got	𐍆𐍂𐌰𐍅𐌹𐍃𐌰𐌽
būaną	ang	būan
būaną	ang	ġebūan
būaną	enm	ȝebuen
būaną	enm	ibuen
būaną	enm	iboen
būaną	osx	būan
būaną	odt	*būan
būaną	odt	buuuan
būaną	odt	buwan
būaną	dum	bouwen
būaną	goh	būan
būaną	non	búa
būaną	non	búinn
būaną	is	búinn
būaną	nb	buen
būaną	enm	bun
būaną	enm	bune
būaną	enm	boun
būaną	sco	boun
būaną	en	boun
būaną	got	𐌱𐌰𐌿𐌰𐌽
bringaną	gmw-pro	*bringan
bringaną	got	𐌱𐍂𐌹𐌲𐌲𐌰𐌽
þankijaną	gmw-pro	*þankijan
þankijaną	non	þekkja
þankijaną	is	þekkja
þankijaną	fo	tekkja
þankijaną	nb	tekkes
þankijaną	nn	tekkjast
þankijaną	gmq-osw	þækkia
þankijaną	sv	täckas
þankijaną	non-ogt	þykkia
þankijaną	got	𐌸𐌰𐌲𐌺𐌾𐌰𐌽
þunkijaną	gmw-pro	*þunkijan
þunkijaną	non	þykkja
þunkijaną	is	þykja
þunkijaną	is	samþykkja
þunkijaną	fo	samtykkja
þunkijaną	nn	tykkja
þunkijaną	gmq-jmk	tykkje
þunkijaną	gmq-bot	tyttj
þunkijaną	gmq-bot	tiitj
þunkijaną	gmq-bot	tyttjes
þunkijaną	gmq-bot	titjes
þunkijaną	gmq-bot	tys
þunkijaną	gmq-osw	þykkia
þunkijaną	gmq-osw	þykia
þunkijaną	sv	tycka
þunkijaną	sw	tyckas
þunkijaną	da	tykkes
þunkijaną	da	samtykke
þunkijaną	got	𐌸𐌿𐌲𐌺𐌾𐌰𐌽
sehwaną	ang	sēon
sehwaną	ofs	siā
sehwaną	stq	sjo
sehwaną	fy	sjen
sehwaną	osx	sehan
sehwaną	odt	sian
sehwaną	goh	sehan
sehwaną	gmh	sëhen
sehwaną	gmh	sēn
sehwaną	gmh	sien
sehwaną	gmw-cfr	sehn
sehwaną	hrx	sihn
sehwaną	de	sehen
sehwaną	pdc	sehne
sehwaną	wym	zaon
sehwaną	yi	זען
sehwaną	non	sjá
sehwaną	got	𐍃𐌰𐌹𐍈𐌰𐌽
sitjaną	gmw-pro	*sittjan
sitjaną	non	sitja
sitjaną	is	sitja
sitjaną	fo	sita
sitjaną	nb	sitte
sitjaną	nn	sitja
sitjaną	nn	sitta
sitjaną	gmq-osw	sitia
sitjaną	sv	sitta
sitjaną	gmq-oda	sitiæ
sitjaną	gmq-oda	sitæ
sitjaną	gmq-oda	sittæ
sitjaną	da	sidde
sitjaną	gmq-bot	siitt
sitjaną	gmq-bot	seeitj
sitjaną	gmq-bot	siti
sitjaną	ovd	sittja
sitjaną	ovd	sitta
sitjaną	gmq-gut	sitä
sitjaną	gmq-gut	site
sitjaną	gmq-gut	sitte
sitjaną	gmq-scy	seda
sitjaną	got	𐍃𐌹𐍄𐌰𐌽
ligjaną	gmw-pro	*liggjan
ligjaną	non	liggja
ligjaną	got	𐌻𐌹𐌲𐌰𐌽
lagjaną	gmw-pro	*laggjan
lagjaną	non	leggja
lagjaną	is	leggja
lagjaną	fo	leggja
lagjaną	nrn	legga
lagjaną	nb	legge
lagjaną	nn	leggja
lagjaną	nn	legga
lagjaną	nn	legga
lagjaną	nn	legge
lagjaną	gmq-osw	læggia
lagjaną	sv	lägga
lagjaną	da	lægge
lagjaną	gmq-gut	lägge
lagjaną	gmq-gut	lägg'
lagjaną	gmq-gut	lägga
lagjaną	got	𐌻𐌰𐌲𐌾𐌰𐌽
lagjaną	fiu-fin-pro	*laittadak
bidjaną	gmw-pro	*biddjan
bidjaną	non	biðja
bidjaną	is	biðja
bidjaną	fo	biðja
bidjaną	nb	bede
bidjaną	nb	be
bidjaną	nn	beda
bidjaną	nn	bede
bidjaną	nn	be
bidjaną	gmq-osw	biþia
bidjaną	sv	bedja
bidjaną	sv	be
bidjaną	da	bede
bidjaną	gmq-gut	bjaude
bidjaną	got	𐌱𐌹𐌳𐌾𐌰𐌽
etaną	gmw-pro	*etan
etaną	non	eta
etaną	is	eta
etaną	is	éta
etaną	fo	eta
etaną	nb	ete
etaną	nn	eta
etaną	nn	ete
etaną	gmq-osw	æta
etaną	gmq-oda	ætæ
etaną	da	æde
etaną	gmq-bot	ita
etaną	gmq-bot	jäta
etaną	gmq-bot	jetta
etaną	ovd	jätå
etaną	gmq-gut	äte
etaną	gmq-gut	jite
etaną	gmq-gut	jeta
etaną	gmq-scy	æda
etaną	got	𐌹𐍄𐌰𐌽
drepaną	ang	drepan
drepaną	enm	drepen
drepaną	sco	drib
drepaną	sco	drub
drepaną	en	drib
drepaną	en	drub
drepaną	osx	drepan
drepaną	gml	drēpen
drepaną	nds-de	drapen
drepaną	nds-de	dropen
drepaną	nds	drapen
drepaną	nds	drepen
drepaną	odt	drepan
drepaną	goh	treffan
drepaną	gmh	treffen
drepaną	de	treffen
drepaną	eo	trafi
drepaną	lb	treffen
drepaną	sv	träffa
drepaną	dum	treffen
drepaną	nl	treffen
drepaną	af	tref
drepaną	yi	טרעפֿן
drepaną	non	drepa
drepaną	is	drepa
drepaną	fo	drepa
drepaną	nb	drepe
drepaną	nn	drepe
drepaną	nn	drepa
drepaną	no	dribba
drepaną	gmq-osw	dræpa
drepaną	sv	dräpa
drepaną	da	dræbe
bugjaną	gmw-pro	*buggjan
bugjaną	non	byggja
bugjaną	nn	byggje
bugjaną	gmq-osw	byggia
bugjaną	got	𐌱𐌿𐌲𐌾𐌰𐌽
sōkijaną	gmw-pro	*sōkijan
sōkijaną	non	sœkja
sōkijaną	got	𐍃𐍉𐌺𐌾𐌰𐌽
sōkijaną	fiu-fin-pro	*hakedak
standaną	ang	standan
standaną	enm	standen
standaną	sco	stand
standaną	en	stand
standaną	ofs	standa
standaną	ofs	stonda
standaną	stq	stounde
standaną	osx	standan
standaną	gml	*standen
standaną	gml	stant
standaną	odt	*standan
standaną	dum	standen
standaną	goh	stantan
standaną	gmh	standen
standaną	de	standen
standaną	non	standa
standaną	is	standa
standaną	fo	standa
standaną	da	stande
standaną	gmq-osw	standa
standaną	sv	stånda
standaną	nn	standa
standaną	got	𐍃𐍄𐌰𐌽𐌳𐌰𐌽
stāną	gmw-pro	*stān
stāną	non	*stá
stāną	fo	stá
stāną	nb	stå
stāną	nn	stå
stāną	gmq-osw	sta
stāną	sv	stå
stāną	da	stå
stāną	gmq-bot	stå
stāną	gmq-bot	sta
stāną	gmq-bot	stæ
stāną	fiu-fin-pro	*soora
unnaną	gmw-pro	*unnan
unnaną	non	unna
unnaną	is	unna
unnaną	fo	unna
unnaną	nb	unne
unnaną	nn	unna
unnaną	nn	unne
unnaną	gmq-osw	unna
unnaną	sv	unna
unnaną	ovd	unna
unnaną	gmq-oda	unnæ
unnaną	da	unde
unnaną	gmq-scy	onða
unnaną	gmq-bot	åånn
unnaną	gmq-bot	oonn
unnaną	gmq-bot	öönn
unnaną	gmq-bot	ännäs
durzaną	gmw-pro	*durʀan
durzaną	got	*𐌳𐌰𐌿𐍂𐍃𐌰𐌽
durzaną	got	𐌲𐌰𐌳𐌰𐌿𐍂𐍃𐌰𐌽
þurbaną	gmw-pro	*þurban
þurbaną	non	þurfa
þurbaną	got	𐌸𐌰𐌿𐍂𐌱𐌰𐌽
skulaną	gmw-pro	*skulan
skulaną	non	skulu
skulaną	got	𐍃𐌺𐌿𐌻𐌰𐌽
aiganą	gmw-pro	*aigan
aiganą	non	eiga
aiganą	non	eigna
aiganą	is	eiga
aiganą	fo	eiga
aiganą	nb	eie
aiganą	nn	eiga
aiganą	nn	eige
aiganą	gmq-osw	ǣgha
aiganą	gmq-osw	ēgha
aiganą	sv	äga
aiganą	sv	ägna
aiganą	gmq-oda	ēghæ
aiganą	da	eje
aiganą	da	egne
aiganą	gmq-bot	eig
aiganą	gmq-bot	åg
aiganą	gmq-bot	engän
aiganą	ovd	iegå
aiganą	gmq-gut	aige
aiganą	gmq-scy	æğa
aiganą	got	𐌰𐌹𐌲𐌰𐌽
aiganą	got	𐌰𐌹𐌷𐌰𐌽
fallaną	gmw-pro	*fallan
fallaną	non	falla
fallaną	is	falla
fallaną	fo	falla
fallaną	nb	falle
fallaną	nn	falla
fallaną	nn	falle
fallaną	gmq-osw	falla
fallaną	sv	falla
fallaną	gmq-oda	fallæ
fallaną	da	falde
fallaną	gmq-bot	fall
fallaną	gmq-bot	fååll
fallaną	ovd	folla
fallaną	gmq-gut	falle
fallaną	gmq-scy	falða
geutaną	gmw-pro	*geutan
geutaną	non	gjóta
geutaną	is	gjóta
geutaną	gmq-osw	giuta
geutaną	sv	gjuta
geutaną	da	gyde
geutaną	nb	gyte
geutaną	nb	utgyte
geutaną	nn	gyte
geutaną	nn	gyta
geutaną	gmq-bot	gjut
geutaną	gmq-bot	gjeut
geutaną	gmq-bot	gjot
